Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Samoa,Apia,2025-03-01 22:45:00,26.0,84,1012.0,Partly cloudy,3.388916
Samoa,Apia,2025-03-02 23:00:00,26.1,84,1011.0,Partly cloudy,7.50006
Samoa,Apia,2025-03-03 22:45:00,26.2,89,1012.0,Partly cloudy,4.000032000000001
Samoa,Apia,2025-03-04 22:45:00,24.2,89,1013.0,Overcast,6.000048000000001
Samoa,Apia,2025-03-05 23:00:00,28.2,79,1012.0,Partly cloudy,3.6111400000000002
Samoa,Apia,2025-03-06 22:45:00,26.3,84,1012.0,Partly cloudy,3.388916
Samoa,Apia,2025-03-07 22:45:00,26.1,89,1011.0,Partly cloudy,1.8889040000000001
Samoa,Apia,2025-03-08 22:45:00,26.2,89,1012.0,Partly cloudy,10.69453
Samoa,Apia,2025-03-09 22:45:00,25.1,89,1014.0,Moderate rain,6.111160000000001
Samoa,Apia,2025-03-10 22:45:00,27.3,84,1014.0,Partly cloudy,2.3055740000000005
Samoa,Apia,2025-03-11 22:45:00,25.3,89,1013.0,Partly cloudy,4.888928000000001
Samoa,Apia,2025-03-12 22:45:00,25.2,94,1013.0,Partly cloudy,5.00004
Samoa,Apia,2025-03-13 22:45:00,25.2,94,1013.0,Partly cloudy,5.00004
Samoa,Apia,2025-03-14 22:45:00,26.3,89,1013.0,Partly cloudy,6.000048000000001
Samoa,Apia,2025-03-15 22:45:00,25.2,83,1013.0,Partly cloudy,6.111160000000001
Samoa,Apia,2025-03-16 22:45:00,26.2,79,1011.0,Partly cloudy,6.194494000000001
Samoa,Apia,2025-03-17 22:30:00,26.2,74,1011.0,Partly cloudy,6.111160000000001
Samoa,Apia,2025-03-18 22:45:00,25.1,83,1012.0,Partly cloudy,5.611156
Samoa,Apia,2025-03-19 22:30:00,26.4,79,1013.0,Partly cloudy,6.194494000000001
Samoa,Apia,2025-03-20 22:45:00,25.2,79,1012.0,Overcast,4.000032000000001
Samoa,Apia,2025-03-21 22:30:00,24.2,94,1012.0,Overcast,4.500036000000001
Samoa,Apia,2025-03-22 22:30:00,27.0,89,1013.0,Partly cloudy,6.305606
Samoa,Apia,2025-03-23 22:45:00,27.2,84,1012.0,Partly cloudy,6.805610000000001
Samoa,Apia,2025-03-24 22:45:00,26.0,94,1011.0,Partly cloudy,7.305614000000001
Samoa,Apia,2025-03-25 22:15:00,26.1,94,1010.0,Partly cloudy,4.888928000000001
Samoa,Apia,2025-03-26 22:30:00,28.3,79,1009.0,Partly cloudy,2.111128
Samoa,Apia,2025-03-27 22:30:00,26.4,89,1011.0,Partly cloudy,2.0000160000000005
Samoa,Apia,2025-03-28 22:30:00,27.1,89,1012.0,Partly cloudy,2.50002
Samoa,Apia,2025-03-29 22:30:00,26.0,89,1010.0,Partly cloudy,4.000032000000001
Samoa,Apia,2025-03-30 22:30:00,25.4,94,1011.0,Partly cloudy,1.8055700000000001
Samoa,Apia,2025-03-31 22:15:00,25.3,94,1010.0,Partly cloudy,3.8889200000000006
