Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
San Marino,San Marino,2025-03-01 11:00:00,11.4,87,1022.0,Mist,4.194478
San Marino,San Marino,2025-03-02 11:00:00,12.3,71,1028.0,Partly cloudy,6.305606
San Marino,San Marino,2025-03-03 10:45:00,11.4,58,1029.0,Sunny,4.000032000000001
San Marino,San Marino,2025-03-04 10:45:00,12.1,58,1026.0,Sunny,2.3055740000000005
San Marino,San Marino,2025-03-05 11:00:00,13.2,51,1028.0,Sunny,1.3055660000000002
San Marino,San Marino,2025-03-06 10:45:00,12.0,54,1028.0,Sunny,1.0000080000000002
San Marino,San Marino,2025-03-07 10:45:00,11.3,62,1022.0,Sunny,1.3055660000000002
San Marino,San Marino,2025-03-08 10:45:00,12.2,62,1018.0,Sunny,2.111128
San Marino,San Marino,2025-03-09 10:45:00,14.3,59,1013.0,Sunny,1.3055660000000002
San Marino,San Marino,2025-03-10 10:45:00,15.0,72,1006.0,Partly cloudy,4.111144
San Marino,San Marino,2025-03-11 10:45:00,14.0,77,1006.0,Partly cloudy,2.111128
San Marino,San Marino,2025-03-12 10:45:00,15.3,63,1001.0,Partly cloudy,6.000048000000001
San Marino,San Marino,2025-03-13 10:45:00,10.4,58,997.0,Partly cloudy,5.194486
San Marino,San Marino,2025-03-14 10:45:00,13.4,88,998.0,Partly cloudy,6.805610000000001
San Marino,San Marino,2025-03-15 10:45:00,14.0,100,1006.0,Partly cloudy,5.111152
San Marino,San Marino,2025-03-16 10:45:00,8.4,61,1010.0,Partly cloudy,4.805594000000001
San Marino,San Marino,2025-03-17 10:45:00,8.3,57,1014.0,Partly cloudy,2.805578
San Marino,San Marino,2025-03-18 10:45:00,6.2,39,1029.0,Partly cloudy,5.888936
San Marino,San Marino,2025-03-19 10:30:00,9.0,46,1033.0,Sunny,2.111128
San Marino,San Marino,2025-03-20 10:45:00,11.3,58,1033.0,Sunny,1.3889
San Marino,San Marino,2025-03-21 10:30:00,13.3,58,1027.0,Partly cloudy,1.694458
San Marino,San Marino,2025-03-22 10:30:00,11.0,87,1015.0,Partly cloudy,2.194462
San Marino,San Marino,2025-03-23 10:45:00,11.3,87,1008.0,Partly cloudy,3.0000240000000007
San Marino,San Marino,2025-03-24 10:45:00,15.1,72,1013.0,Sunny,1.3055660000000002
San Marino,San Marino,2025-03-25 10:15:00,14.4,67,1017.0,Partly cloudy,1.0000080000000002
San Marino,San Marino,2025-03-26 10:30:00,14.2,77,1014.0,Partly cloudy,4.3055900000000005
San Marino,San Marino,2025-03-27 10:30:00,11.1,82,1010.0,Moderate rain,7.805618000000001
San Marino,San Marino,2025-03-28 10:45:00,11.1,94,1006.0,Light rain,2.6944660000000002
San Marino,San Marino,2025-03-29 10:30:00,7.2,93,999.0,Partly cloudy,1.3055660000000002
San Marino,San Marino,2025-03-30 11:45:00,14.1,67,1012.0,Sunny,5.00004
San Marino,San Marino,2025-03-31 11:15:00,10.0,62,1009.0,Partly cloudy,4.500036000000001
