Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Saudi Arabia,Riyadh,2024-05-16 11:45:00,39.0,7,1010.0,Sunny,4.194478
Saudi Arabia,Riyadh,2024-05-16 17:15:00,41.0,7,1008.0,Sunny,4.194478
Saudi Arabia,Riyadh,2024-05-17 19:15:00,34.0,12,1013.0,Clear,5.305598000000001
Saudi Arabia,Riyadh,2024-05-18 17:30:00,35.0,9,1013.0,Sunny,5.611156
Saudi Arabia,Riyadh,2024-05-19 17:15:00,36.0,8,1010.0,Sunny,4.694482
Saudi Arabia,Riyadh,2024-05-20 17:45:00,39.0,7,1009.0,Sunny,3.111136
Saudi Arabia,Riyadh,2024-05-21 17:45:00,41.0,7,1008.0,Partly cloudy,5.305598000000001
Saudi Arabia,Riyadh,2024-05-22 17:15:00,41.0,6,1007.0,Partly cloudy,1.694458
Saudi Arabia,Riyadh,2024-05-23 17:00:00,41.0,6,1009.0,Sunny,3.111136
Saudi Arabia,Riyadh,2024-05-24 17:30:00,41.0,7,1008.0,Sunny,1.694458
Saudi Arabia,Riyadh,2024-05-25 17:15:00,43.0,5,1005.0,Partly cloudy,3.6111400000000002
Saudi Arabia,Riyadh,2024-05-26 17:15:00,43.0,6,1007.0,Sunny,1.8889040000000001
Saudi Arabia,Riyadh,2024-05-27 17:30:00,40.0,7,1010.0,Sunny,3.6111400000000002
Saudi Arabia,Riyadh,2024-05-28 17:30:00,40.0,5,1011.0,Sunny,3.111136
Saudi Arabia,Riyadh,2024-05-29 17:00:00,43.0,5,1008.0,Sunny,1.694458
Saudi Arabia,Riyadh,2024-05-30 16:45:00,44.0,5,1007.0,Sunny,1.8889040000000001
Saudi Arabia,Riyadh,2024-05-31 17:15:00,43.0,6,1009.0,Sunny,4.694482
