Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Senegal,Dakar,2024-06-01 14:30:00,26.0,65,1015.0,Partly cloudy,6.111160000000001
Senegal,Dakar,2024-06-02 14:00:00,26.0,65,1014.0,Partly cloudy,6.111160000000001
Senegal,Dakar,2024-06-03 14:15:00,27.0,70,1014.0,Partly cloudy,5.305598000000001
Senegal,Dakar,2024-06-04 14:15:00,27.0,70,1012.0,Sunny,5.305598000000001
Senegal,Dakar,2024-06-05 14:15:00,24.4,78,1013.0,Sunny,5.305598000000001
Senegal,Dakar,2024-06-06 14:00:00,27.0,70,1014.0,Sunny,6.111160000000001
Senegal,Dakar,2024-06-07 14:00:00,27.2,66,1015.0,Sunny,5.305598000000001
Senegal,Dakar,2024-06-08 14:15:00,27.1,70,1013.0,Sunny,3.111136
Senegal,Dakar,2024-06-09 14:15:00,27.1,70,1013.0,Partly cloudy,3.6111400000000002
Senegal,Dakar,2024-06-10 14:15:00,29.3,66,1013.0,Sunny,3.111136
Senegal,Dakar,2024-06-11 14:15:00,30.0,62,1012.0,Sunny,4.194478
Senegal,Dakar,2024-06-12 14:15:00,29.3,66,1011.0,Sunny,7.194502
Senegal,Dakar,2024-06-13 14:00:00,28.1,70,1012.0,Partly cloudy,6.111160000000001
Senegal,Dakar,2024-06-14 14:00:00,24.9,70,1012.0,Sunny,2.3889080000000003
Senegal,Dakar,2024-06-15 14:00:00,28.2,74,1013.0,Sunny,3.111136
Senegal,Dakar,2024-06-16 13:45:00,28.3,74,1012.0,Partly cloudy,3.111136
Senegal,Dakar,2024-06-17 14:00:00,24.3,73,1010.0,Sunny,6.305606
Senegal,Dakar,2024-06-18 14:00:00,26.0,78,1011.0,Partly Cloudy,4.611148000000001
Senegal,Dakar,2024-06-19 14:00:00,29.0,79,1015.0,Sunny,3.111136
Senegal,Dakar,2024-06-20 13:45:00,30.3,70,1014.0,Partly cloudy,6.111160000000001
Senegal,Dakar,2024-06-21 13:45:00,28.1,74,1013.0,Partly cloudy,5.305598000000001
Senegal,Dakar,2024-06-22 13:45:00,29.1,70,1012.0,Partly cloudy,3.111136
Senegal,Dakar,2024-06-23 13:45:00,29.3,70,1012.0,Partly cloudy,4.194478
Senegal,Dakar,2024-06-24 13:45:00,29.2,70,1012.0,Sunny,3.111136
Senegal,Dakar,2024-06-25 13:15:00,24.8,73,1014.0,Sunny,3.1944700000000004
Senegal,Dakar,2024-06-26 13:30:00,28.0,66,1013.0,Partly cloudy,5.305598000000001
Senegal,Dakar,2024-06-27 13:15:00,28.3,70,1011.0,Sunny,4.194478
Senegal,Dakar,2024-06-28 13:15:00,29.2,70,1012.0,Partly cloudy,3.111136
Senegal,Dakar,2024-06-29 12:45:00,25.6,75,1013.0,Sunny,5.888936
Senegal,Dakar,2024-06-30 13:30:00,29.1,70,1011.0,Partly cloudy,4.194478
