Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Serbia,Belgrade,2025-05-01 11:00:00,20.0,60,1020.0,Sunny,3.388916
Serbia,Belgrade,2025-05-02 11:00:00,22.2,57,1021.0,Sunny,1.8889040000000001
Serbia,Belgrade,2025-05-03 11:00:00,24.3,44,1015.0,Sunny,2.50002
Serbia,Belgrade,2025-05-04 10:45:00,21.0,60,1010.0,Partly Cloudy,2.3889080000000003
Serbia,Belgrade,2025-05-05 11:00:00,21.0,64,1008.0,Moderate rain,2.50002
Serbia,Belgrade,2025-05-06 11:00:00,19.2,78,1010.0,Partly cloudy,3.111136
Serbia,Belgrade,2025-05-07 10:45:00,15.3,77,1014.0,Partly cloudy,3.3055820000000002
Serbia,Belgrade,2025-05-08 10:45:00,13.1,94,1009.0,Moderate rain,3.8889200000000006
Serbia,Belgrade,2025-05-09 11:15:00,16.4,59,1017.0,Partly cloudy,2.194462
Serbia,Belgrade,2025-05-10 11:00:00,14.1,59,1021.0,Sunny,2.805578
Serbia,Belgrade,2025-05-11 10:45:00,17.3,52,1016.0,Sunny,1.8889040000000001
Serbia,Belgrade,2025-05-12 11:15:00,15.2,48,1013.0,Cloudy,3.111136
Serbia,Belgrade,2025-05-13 11:15:00,16.4,45,1017.0,Sunny,3.0000240000000007
Serbia,Belgrade,2025-05-14 11:15:00,17.4,39,1018.0,Sunny,2.0000160000000005
Serbia,Belgrade,2025-05-15 11:00:00,19.0,46,1009.0,Sunny,3.6111400000000002
Serbia,Belgrade,2025-05-16 11:00:00,11.4,62,1013.0,Overcast,3.3055820000000002
Serbia,Belgrade,2025-05-17 10:45:00,14.1,63,1012.0,Partly cloudy,6.305606
Serbia,Belgrade,2025-05-18 10:45:00,19.1,40,1015.0,Partly Cloudy,3.388916
Serbia,Belgrade,2025-05-19 11:00:00,15.0,77,1017.0,Light rain,2.6944660000000002
Serbia,Belgrade,2025-05-20 11:00:00,19.3,52,1019.0,Partly Cloudy,3.0000240000000007
Serbia,Belgrade,2025-05-21 10:45:00,18.1,77,1014.0,Patchy rain nearby,2.111128
Serbia,Belgrade,2025-05-22 10:45:00,18.3,88,1010.0,Partly cloudy,2.3055740000000005
Serbia,Belgrade,2025-05-23 11:00:00,19.2,83,1009.0,Partly cloudy,2.194462
Serbia,Belgrade,2025-05-24 10:45:00,15.3,59,1017.0,Sunny,3.8889200000000006
Serbia,Belgrade,2025-05-25 10:30:00,15.2,55,1016.0,Partly cloudy,4.388924
Serbia,Belgrade,2025-05-26 11:00:00,19.0,52,1014.0,Light rain shower,6.805610000000001
Serbia,Belgrade,2025-05-27 11:00:00,20.0,60,1017.0,Partly cloudy,5.305598000000001
Serbia,Belgrade,2025-05-28 10:45:00,20.2,56,1017.0,Patchy rain nearby,4.805594000000001
Serbia,Belgrade,2025-05-29 10:45:00,19.3,64,1014.0,Partly cloudy,6.805610000000001
Serbia,Belgrade,2025-05-30 10:45:00,17.3,63,1021.0,Partly cloudy,4.111144
Serbia,Belgrade,2025-05-31 10:45:00,20.2,56,1022.0,Partly cloudy,2.3889080000000003
