Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Seychelles Islands,Victoria,2025-01-01 14:00:00,30.2,79,1009.0,Partly cloudy,5.00004
Seychelles Islands,Victoria,2025-01-02 13:45:00,29.2,84,1009.0,Partly cloudy,6.194494000000001
Seychelles Islands,Victoria,2025-01-03 14:45:00,29.3,79,1010.0,Partly cloudy,6.805610000000001
Seychelles Islands,Victoria,2025-01-04 14:15:00,28.1,84,1009.0,Partly cloudy,8.88896
Seychelles Islands,Victoria,2025-01-05 14:15:00,28.1,79,1009.0,Partly cloudy,7.305614000000001
Seychelles Islands,Victoria,2025-01-06 14:30:00,29.4,75,1011.0,Partly cloudy,6.805610000000001
Seychelles Islands,Victoria,2025-01-07 14:15:00,26.3,100,1010.0,Light rain,5.194486
Seychelles Islands,Victoria,2025-01-08 14:00:00,29.1,70,1009.0,Partly cloudy,5.694490000000001
Seychelles Islands,Victoria,2025-01-09 14:30:00,28.2,79,1008.0,Light rain,5.694490000000001
Seychelles Islands,Victoria,2025-01-10 15:00:00,29.2,84,1009.0,Moderate rain,7.6945060000000005
Seychelles Islands,Victoria,2025-01-11 14:00:00,27.7,77,1010.0,Sunny,7.111168000000001
Seychelles Islands,Victoria,2025-01-12 13:45:00,27.6,72,1011.0,Sunny,4.611148000000001
Seychelles Islands,Victoria,2025-01-13 14:45:00,26.7,71,1010.0,Sunny,2.8889120000000004
Seychelles Islands,Victoria,2025-01-14 15:00:00,29.2,75,1010.0,Partly cloudy,1.694458
Seychelles Islands,Victoria,2025-01-15 14:30:00,29.3,84,1010.0,Partly cloudy,4.000032000000001
Seychelles Islands,Victoria,2025-01-16 14:15:00,26.3,100,1010.0,Light rain shower,7.388948000000001
Seychelles Islands,Victoria,2025-01-17 14:30:00,29.3,89,1009.0,Light rain shower,7.6945060000000005
Seychelles Islands,Victoria,2025-01-18 13:30:00,29.4,79,1008.0,Partly cloudy,8.388956
Seychelles Islands,Victoria,2025-01-19 13:15:00,30.3,66,1010.0,Partly cloudy,6.888944000000001
Seychelles Islands,Victoria,2025-01-20 13:45:00,30.4,75,1009.0,Partly cloudy,6.000048000000001
Seychelles Islands,Victoria,2025-01-21 14:30:00,30.4,75,1008.0,Partly cloudy,7.611172000000001
Seychelles Islands,Victoria,2025-01-22 14:15:00,30.1,75,1008.0,Partly cloudy,6.888944000000001
Seychelles Islands,Victoria,2025-01-23 14:30:00,28.2,89,1009.0,Partly cloudy,7.305614000000001
Seychelles Islands,Victoria,2025-01-24 14:30:00,30.1,70,1008.0,Partly cloudy,7.50006
Seychelles Islands,Victoria,2025-01-25 14:30:00,27.1,94,1008.0,Light rain,6.305606
Seychelles Islands,Victoria,2025-01-26 14:15:00,26.0,79,1010.0,Light rain shower,3.6944740000000005
Seychelles Islands,Victoria,2025-01-27 14:30:00,27.1,80,1009.0,Patchy rain nearby,5.194486
Seychelles Islands,Victoria,2025-01-28 15:00:00,31.2,66,1008.0,Partly cloudy,4.611148000000001
Seychelles Islands,Victoria,2025-01-29 14:30:00,29.4,89,1009.0,Partly cloudy,4.611148000000001
Seychelles Islands,Victoria,2025-01-30 14:15:00,30.2,75,1009.0,Partly cloudy,6.111160000000001
Seychelles Islands,Victoria,2025-01-31 14:30:00,30.2,75,1008.0,Partly cloudy,6.305606
