Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Sierra Leone,Freetown,2025-04-01 09:30:00,27.0,74,1012.0,Partly Cloudy,2.50002
Sierra Leone,Freetown,2025-04-02 09:00:00,26.3,79,1007.0,Partly cloudy,2.6944660000000002
Sierra Leone,Freetown,2025-04-03 09:00:00,27.3,74,1010.0,Partly cloudy,3.111136
Sierra Leone,Freetown,2025-04-04 09:15:00,26.7,72,1013.0,Partly Cloudy,3.0000240000000007
Sierra Leone,Freetown,2025-04-05 09:00:00,26.2,74,1014.0,Partly Cloudy,3.8055860000000004
Sierra Leone,Freetown,2025-04-06 09:00:00,26.2,68,1012.0,Sunny,2.6111320000000005
Sierra Leone,Freetown,2025-04-07 09:15:00,27.3,75,1012.0,Patchy rain nearby,3.3055820000000002
Sierra Leone,Freetown,2025-04-08 09:30:00,27.4,75,1013.0,Partly Cloudy,1.8055700000000001
Sierra Leone,Freetown,2025-04-09 09:15:00,27.2,80,1014.0,Partly Cloudy,2.50002
Sierra Leone,Freetown,2025-04-10 09:15:00,26.8,71,1013.0,Sunny,1.0000080000000002
Sierra Leone,Freetown,2025-04-11 09:15:00,27.3,79,1009.0,Partly cloudy,2.6944660000000002
Sierra Leone,Freetown,2025-04-12 09:15:00,27.4,74,1013.0,Patchy rain nearby,2.805578
Sierra Leone,Freetown,2025-04-13 09:00:00,26.6,76,1013.0,Cloudy,2.50002
Sierra Leone,Freetown,2025-04-14 09:30:00,26.3,79,1012.0,Partly cloudy,2.0000160000000005
Sierra Leone,Freetown,2025-04-15 09:15:00,25.5,86,1014.0,Patchy rain nearby,3.6111400000000002
Sierra Leone,Freetown,2025-04-16 09:00:00,27.0,78,1014.0,Patchy rain nearby,3.6944740000000005
Sierra Leone,Freetown,2025-04-17 09:00:00,27.7,74,1013.0,Cloudy,1.11112
Sierra Leone,Freetown,2025-04-18 09:15:00,28.3,74,1011.0,Partly cloudy,2.8889120000000004
Sierra Leone,Freetown,2025-04-19 09:00:00,25.2,74,1010.0,Partly cloudy,2.8889120000000004
Sierra Leone,Freetown,2025-04-20 08:45:00,25.1,83,1009.0,Sunny,2.3889080000000003
Sierra Leone,Freetown,2025-04-21 09:15:00,28.1,74,1009.0,Partly cloudy,3.5000280000000004
Sierra Leone,Freetown,2025-04-22 09:15:00,28.3,70,1010.0,Partly cloudy,1.0000080000000002
Sierra Leone,Freetown,2025-04-23 09:00:00,27.3,79,1009.0,Partly cloudy,1.3055660000000002
Sierra Leone,Freetown,2025-04-24 09:00:00,23.4,89,1010.0,Partly cloudy,1.694458
Sierra Leone,Freetown,2025-04-25 09:15:00,27.2,79,1009.0,Partly cloudy,1.0000080000000002
Sierra Leone,Freetown,2025-04-26 09:00:00,27.1,79,1009.0,Partly cloudy,2.3889080000000003
Sierra Leone,Freetown,2025-04-27 08:45:00,27.5,82,1011.0,Patchy rain nearby,1.3055660000000002
Sierra Leone,Freetown,2025-04-28 09:30:00,28.2,79,1010.0,Partly cloudy,2.8889120000000004
Sierra Leone,Freetown,2025-04-29 08:45:00,26.1,89,1007.0,Partly cloudy,2.0000160000000005
Sierra Leone,Freetown,2025-04-30 08:45:00,27.2,84,1009.0,Partly cloudy,3.1944700000000004
