Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Slovakia,Bratislava,2025-01-01 11:45:00,3.6,74,1028.0,Sunny,2.3889080000000003
Slovakia,Bratislava,2025-01-02 11:15:00,3.8,74,1017.0,Partly Cloudy,2.8889120000000004
Slovakia,Bratislava,2025-01-03 11:45:00,3.1,75,1017.0,Partly cloudy,5.888936
Slovakia,Bratislava,2025-01-04 11:15:00,3.1,60,1023.0,Sunny,4.611148000000001
Slovakia,Bratislava,2025-01-05 10:45:00,-1.6,93,1013.0,Overcast,5.111152
Slovakia,Bratislava,2025-01-06 10:45:00,1.2,100,1002.0,Partly cloudy,1.694458
Slovakia,Bratislava,2025-01-07 11:45:00,3.1,93,1008.0,Light rain,3.111136
Slovakia,Bratislava,2025-01-08 11:00:00,6.3,87,1009.0,Partly cloudy,3.6111400000000002
Slovakia,Bratislava,2025-01-09 12:15:00,8.3,81,1007.0,Partly cloudy,3.0000240000000007
Slovakia,Bratislava,2025-01-10 11:15:00,5.2,48,1015.0,Partly cloudy,8.111176
Slovakia,Bratislava,2025-01-11 12:15:00,3.3,57,1020.0,Patchy rain nearby,7.111168000000001
Slovakia,Bratislava,2025-01-12 10:45:00,2.0,64,1027.0,Light snow,9.694522000000001
Slovakia,Bratislava,2025-01-13 11:45:00,2.2,64,1039.0,Partly cloudy,7.305614000000001
Slovakia,Bratislava,2025-01-14 12:00:00,1.4,75,1037.0,Partly cloudy,1.0000080000000002
Slovakia,Bratislava,2025-01-15 10:45:00,2.2,87,1026.0,Partly cloudy,5.194486
Slovakia,Bratislava,2025-01-16 12:00:00,3.0,91,1039.0,Partly Cloudy,1.0000080000000002
Slovakia,Bratislava,2025-01-17 11:30:00,1.1,93,1041.0,Mist,3.111136
Slovakia,Bratislava,2025-01-18 10:30:00,-1.9,93,1038.0,Mist,2.3055740000000005
Slovakia,Bratislava,2025-01-19 11:00:00,-2.9,100,1032.0,Mist,3.1944700000000004
Slovakia,Bratislava,2025-01-20 10:45:00,-2.6,100,1029.0,Light freezing rain,5.611156
Slovakia,Bratislava,2025-01-21 11:30:00,-1.8,93,1021.0,Overcast,1.611124
Slovakia,Bratislava,2025-01-22 11:15:00,-1.9,100,1018.0,Mist,2.111128
Slovakia,Bratislava,2025-01-23 11:30:00,0.4,100,1010.0,Light drizzle,4.694482
Slovakia,Bratislava,2025-01-24 11:30:00,4.0,87,1018.0,Sunny,1.694458
Slovakia,Bratislava,2025-01-25 11:30:00,4.2,100,1018.0,Light drizzle,4.888928000000001
Slovakia,Bratislava,2025-01-26 11:15:00,8.2,87,1012.0,Partly cloudy,5.694490000000001
Slovakia,Bratislava,2025-01-27 11:30:00,11.0,71,1007.0,Partly cloudy,5.305598000000001
Slovakia,Bratislava,2025-01-28 12:00:00,11.2,76,1002.0,Partly cloudy,9.000072000000001
Slovakia,Bratislava,2025-01-29 11:30:00,9.2,81,1013.0,Sunny,2.3055740000000005
Slovakia,Bratislava,2025-01-30 11:15:00,7.1,81,1019.0,Sunny,2.805578
Slovakia,Bratislava,2025-01-31 11:30:00,9.3,62,1024.0,Sunny,6.6111640000000005
