Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Slovenia,Ljubljana,2024-06-01 16:30:00,20.0,60,1012.0,Partly cloudy,1.694458
Slovenia,Ljubljana,2024-06-02 16:00:00,24.0,44,1014.0,Partly cloudy,1.0000080000000002
Slovenia,Ljubljana,2024-06-03 16:15:00,20.0,68,1012.0,Partly cloudy,3.111136
Slovenia,Ljubljana,2024-06-04 16:15:00,19.0,83,1014.0,Overcast,1.8889040000000001
Slovenia,Ljubljana,2024-06-05 16:15:00,23.0,65,1015.0,Light rain,1.8889040000000001
Slovenia,Ljubljana,2024-06-06 16:00:00,27.0,48,1017.0,Partly cloudy,1.0000080000000002
Slovenia,Ljubljana,2024-06-07 16:00:00,28.4,42,1016.0,Partly cloudy,1.8889040000000001
Slovenia,Ljubljana,2024-06-08 16:15:00,28.3,48,1012.0,Overcast,2.50002
Slovenia,Ljubljana,2024-06-09 16:15:00,29.1,35,1009.0,Partly cloudy,5.611156
Slovenia,Ljubljana,2024-06-10 16:15:00,22.2,73,1005.0,Partly cloudy,1.694458
Slovenia,Ljubljana,2024-06-11 16:15:00,15.3,88,1013.0,Moderate rain,4.694482
Slovenia,Ljubljana,2024-06-12 16:15:00,13.3,94,1017.0,Partly cloudy,1.8889040000000001
Slovenia,Ljubljana,2024-06-13 16:00:00,14.2,82,1017.0,Light rain,1.0000080000000002
Slovenia,Ljubljana,2024-06-14 16:00:00,20.5,51,1015.0,Partly Cloudy,3.8889200000000006
Slovenia,Ljubljana,2024-06-15 16:00:00,22.7,53,1011.0,Partly Cloudy,4.194478
Slovenia,Ljubljana,2024-06-16 15:45:00,24.7,49,1011.0,Patchy rain nearby,4.3055900000000005
Slovenia,Ljubljana,2024-06-17 16:00:00,26.7,46,1015.0,Sunny,3.8055860000000004
Slovenia,Ljubljana,2024-06-18 16:00:00,27.9,45,1016.0,Sunny,4.111144
Slovenia,Ljubljana,2024-06-19 15:45:00,30.2,40,1017.0,Partly cloudy,6.694498000000001
Slovenia,Ljubljana,2024-06-20 15:45:00,31.7,47,1017.0,Sunny,1.0000080000000002
Slovenia,Ljubljana,2024-06-21 15:45:00,28.3,70,1016.0,Partly cloudy,1.8889040000000001
Slovenia,Ljubljana,2024-06-22 15:45:00,28.2,51,1010.0,Partly cloudy,7.805618000000001
Slovenia,Ljubljana,2024-06-23 15:45:00,25.4,47,1013.0,Partly cloudy,5.305598000000001
Slovenia,Ljubljana,2024-06-24 15:45:00,23.3,65,1016.0,Partly cloudy,1.0000080000000002
Slovenia,Ljubljana,2024-06-25 15:15:00,26.5,52,1013.0,Patchy light rain in area with thunder,3.5000280000000004
Slovenia,Ljubljana,2024-06-26 15:30:00,19.4,94,1014.0,Moderate or heavy rain with thunder,4.694482
Slovenia,Ljubljana,2024-06-27 15:15:00,26.1,54,1012.0,Partly cloudy,1.8889040000000001
Slovenia,Ljubljana,2024-06-28 15:15:00,30.3,52,1016.0,Partly cloudy,1.8889040000000001
Slovenia,Ljubljana,2024-06-29 14:45:00,31.3,43,1018.0,Partly cloudy,1.0000080000000002
Slovenia,Ljubljana,2024-06-30 15:30:00,30.1,43,1011.0,Overcast,3.6111400000000002
