Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Solomon Islands,Honiara,2025-04-01 20:30:00,27.3,80,1010.0,Clear,2.8889120000000004
Solomon Islands,Honiara,2025-04-02 20:00:00,27.3,89,1009.0,Partly cloudy,3.388916
Solomon Islands,Honiara,2025-04-03 20:00:00,27.5,82,1011.0,Patchy rain nearby,2.805578
Solomon Islands,Honiara,2025-04-04 20:15:00,26.2,94,1009.0,Partly cloudy,1.3055660000000002
Solomon Islands,Honiara,2025-04-05 20:00:00,29.4,84,1009.0,Partly cloudy,1.8055700000000001
Solomon Islands,Honiara,2025-04-06 20:00:00,26.2,85,1012.0,Light rain shower,1.0000080000000002
Solomon Islands,Honiara,2025-04-07 20:15:00,27.1,89,1011.0,Partly cloudy,1.8055700000000001
Solomon Islands,Honiara,2025-04-08 20:30:00,26.9,85,1012.0,Light rain shower,2.111128
Solomon Islands,Honiara,2025-04-09 20:15:00,29.2,79,1009.0,Partly cloudy,2.6111320000000005
Solomon Islands,Honiara,2025-04-10 20:30:00,26.8,83,1010.0,Partly Cloudy,1.0000080000000002
Solomon Islands,Honiara,2025-04-11 20:15:00,25.0,100,1010.0,Partly cloudy,2.6944660000000002
Solomon Islands,Honiara,2025-04-12 20:15:00,26.3,94,1007.0,Partly cloudy,2.805578
Solomon Islands,Honiara,2025-04-13 20:00:00,25.4,92,1008.0,Patchy rain nearby,1.8889040000000001
Solomon Islands,Honiara,2025-04-14 20:30:00,26.2,86,1008.0,Patchy rain nearby,3.0000240000000007
Solomon Islands,Honiara,2025-04-15 20:15:00,25.1,100,1007.0,Light drizzle,4.194478
Solomon Islands,Honiara,2025-04-16 20:00:00,25.2,94,1008.0,Moderate rain,5.500044000000001
Solomon Islands,Honiara,2025-04-17 20:00:00,25.2,100,1008.0,Partly cloudy,2.6944660000000002
Solomon Islands,Honiara,2025-04-18 20:15:00,26.9,82,1010.0,Patchy rain nearby,1.0000080000000002
Solomon Islands,Honiara,2025-04-19 20:00:00,27.1,94,1009.0,Light rain,1.3889
Solomon Islands,Honiara,2025-04-20 20:00:00,26.2,94,1008.0,Partly cloudy,1.0000080000000002
Solomon Islands,Honiara,2025-04-21 20:15:00,31.2,75,1008.0,Light drizzle,1.611124
Solomon Islands,Honiara,2025-04-22 20:15:00,27.2,89,1008.0,Partly cloudy,4.000032000000001
Solomon Islands,Honiara,2025-04-23 20:00:00,26.1,87,1010.0,Light rain shower,1.1944540000000001
Solomon Islands,Honiara,2025-04-24 20:00:00,27.2,89,1008.0,Partly cloudy,1.1944540000000001
Solomon Islands,Honiara,2025-04-25 20:00:00,28.2,89,1008.0,Patchy rain nearby,1.611124
Solomon Islands,Honiara,2025-04-26 20:00:00,28.2,79,1008.0,Partly cloudy,3.388916
Solomon Islands,Honiara,2025-04-27 19:45:00,27.3,84,1009.0,Patchy rain nearby,2.805578
Solomon Islands,Honiara,2025-04-28 20:30:00,27.3,94,1008.0,Patchy rain nearby,1.611124
Solomon Islands,Honiara,2025-04-29 19:45:00,28.2,89,1009.0,Partly cloudy,1.8055700000000001
Solomon Islands,Honiara,2025-04-30 19:45:00,27.1,94,1010.0,Partly cloudy,1.0000080000000002
