Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Somalia,Mogadishu,2024-05-16 11:45:00,30.0,89,1012.0,Partly cloudy,6.111160000000001
Somalia,Mogadishu,2024-05-16 17:15:00,30.0,75,1010.0,Partly cloudy,7.805618000000001
Somalia,Mogadishu,2024-05-17 19:15:00,29.0,89,1009.0,Partly cloudy,5.305598000000001
Somalia,Mogadishu,2024-05-18 17:30:00,30.0,84,1008.0,Partly cloudy,7.194502
Somalia,Mogadishu,2024-05-19 17:15:00,30.0,84,1008.0,Partly cloudy,7.194502
Somalia,Mogadishu,2024-05-20 17:45:00,30.0,79,1008.0,Partly cloudy,7.805618000000001
Somalia,Mogadishu,2024-05-21 17:45:00,30.0,79,1010.0,Partly cloudy,7.194502
Somalia,Mogadishu,2024-05-22 17:15:00,31.0,75,1009.0,Partly cloudy,8.305622
Somalia,Mogadishu,2024-05-23 17:00:00,30.0,75,1008.0,Partly cloudy,8.611180000000001
Somalia,Mogadishu,2024-05-24 17:30:00,29.0,79,1009.0,Partly cloudy,10.305638000000002
Somalia,Mogadishu,2024-05-25 17:15:00,29.0,84,1010.0,Partly cloudy,8.305622
Somalia,Mogadishu,2024-05-26 17:15:00,28.0,89,1011.0,Partly cloudy,6.111160000000001
Somalia,Mogadishu,2024-05-27 17:30:00,30.0,79,1012.0,Partly cloudy,8.611180000000001
Somalia,Mogadishu,2024-05-28 17:45:00,30.0,75,1012.0,Partly cloudy,8.611180000000001
Somalia,Mogadishu,2024-05-29 17:15:00,30.0,70,1011.0,Partly cloudy,8.611180000000001
Somalia,Mogadishu,2024-05-30 17:00:00,30.0,70,1010.0,Partly cloudy,8.611180000000001
Somalia,Mogadishu,2024-05-31 17:15:00,27.2,78,1012.0,Sunny,7.611172000000001
