Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
South Africa,Pretoria,2025-01-01 12:30:00,24.4,65,1020.0,Partly cloudy,4.194478
South Africa,Pretoria,2025-01-02 12:15:00,30.0,38,1012.0,Partly Cloudy,3.3055820000000002
South Africa,Pretoria,2025-01-03 12:45:00,28.3,62,1021.0,Sunny,3.8055860000000004
South Africa,Pretoria,2025-01-04 12:15:00,26.4,61,1021.0,Sunny,3.111136
South Africa,Pretoria,2025-01-05 11:45:00,26.4,70,1013.0,Sunny,5.500044000000001
South Africa,Pretoria,2025-01-06 12:30:00,25.1,65,1015.0,Sunny,2.194462
South Africa,Pretoria,2025-01-07 12:45:00,22.3,78,1017.0,Sunny,4.611148000000001
South Africa,Pretoria,2025-01-08 12:30:00,26.1,61,1017.0,Sunny,1.0000080000000002
South Africa,Pretoria,2025-01-09 12:30:00,20.3,88,1017.0,Sunny,3.8889200000000006
South Africa,Pretoria,2025-01-10 13:00:00,27.3,62,1016.0,Sunny,1.8889040000000001
South Africa,Pretoria,2025-01-11 12:30:00,24.1,74,1019.0,Sunny,4.388924
South Africa,Pretoria,2025-01-12 12:15:00,20.1,88,1020.0,Sunny,2.111128
South Africa,Pretoria,2025-01-13 12:45:00,21.1,69,1019.0,Sunny,4.194478
South Africa,Pretoria,2025-01-14 13:00:00,22.2,78,1016.0,Sunny,3.5000280000000004
South Africa,Pretoria,2025-01-15 12:45:00,27.2,54,1013.0,Sunny,4.611148000000001
South Africa,Pretoria,2025-01-16 12:00:00,25.4,61,1018.0,Sunny,4.194478
South Africa,Pretoria,2025-01-17 13:15:00,26.9,46,1014.0,Patchy rain nearby,3.5000280000000004
South Africa,Pretoria,2025-01-18 12:30:00,23.1,65,1022.0,Sunny,1.3889
South Africa,Pretoria,2025-01-19 12:00:00,29.0,48,1019.0,Sunny,1.3055660000000002
South Africa,Pretoria,2025-01-20 12:30:00,29.2,48,1018.0,Sunny,2.6111320000000005
South Africa,Pretoria,2025-01-21 12:30:00,27.0,39,1021.0,Sunny,4.805594000000001
South Africa,Pretoria,2025-01-22 12:15:00,25.1,47,1023.0,Sunny,3.8055860000000004
South Africa,Pretoria,2025-01-23 12:30:00,30.6,30,1012.0,Sunny,1.0000080000000002
South Africa,Pretoria,2025-01-24 12:30:00,29.1,43,1019.0,Sunny,2.194462
South Africa,Pretoria,2025-01-25 12:15:00,29.2,40,1018.0,Sunny,2.6944660000000002
South Africa,Pretoria,2025-01-26 12:30:00,29.1,31,1019.0,Sunny,2.8889120000000004
South Africa,Pretoria,2025-01-27 12:30:00,19.7,49,1014.0,Clear,3.1944700000000004
South Africa,Pretoria,2025-01-28 13:00:00,30.4,16,1011.0,Sunny,3.0000240000000007
South Africa,Pretoria,2025-01-29 12:30:00,31.1,25,1014.0,Sunny,1.0000080000000002
South Africa,Pretoria,2025-01-30 12:15:00,30.9,28,1010.0,Sunny,4.694482
South Africa,Pretoria,2025-01-31 12:30:00,32.0,29,1008.0,Sunny,5.500044000000001
