Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
South Korea,Seoul,2024-12-01 19:45:00,7.4,93,1014.0,Partly cloudy,1.611124
South Korea,Seoul,2024-12-02 19:30:00,5.3,87,1018.0,Clear,4.888928000000001
South Korea,Seoul,2024-12-03 20:00:00,2.0,47,1024.0,Clear,1.8889040000000001
South Korea,Seoul,2024-12-04 19:30:00,3.3,60,1020.0,Clear,2.8889120000000004
South Korea,Seoul,2024-12-05 19:30:00,4.0,93,1015.0,Mist,3.3055820000000002
South Korea,Seoul,2024-12-06 19:45:00,0.2,59,1023.0,Clear,4.611148000000001
South Korea,Seoul,2024-12-07 19:45:00,0.4,64,1024.0,Clear,4.694482
South Korea,Seoul,2024-12-08 19:30:00,1.1,44,1026.0,Clear,2.0000160000000005
South Korea,Seoul,2024-12-09 20:00:00,0.2,74,1023.0,Clear,1.0000080000000002
South Korea,Seoul,2024-12-10 20:00:00,2.0,64,1023.0,Clear,1.0000080000000002
South Korea,Seoul,2024-12-11 19:45:00,2.4,51,1023.0,Clear,2.111128
South Korea,Seoul,2024-12-12 19:45:00,1.2,44,1025.0,Clear,2.6111320000000005
South Korea,Seoul,2024-12-13 19:45:00,1.4,40,1022.0,Clear,4.388924
South Korea,Seoul,2024-12-14 19:30:00,-1.6,59,1024.0,Clear,4.388924
South Korea,Seoul,2024-12-15 19:15:00,0.2,43,1022.0,Clear,4.111144
South Korea,Seoul,2024-12-16 20:00:00,-1.8,100,1022.0,Partly cloudy,1.0000080000000002
South Korea,Seoul,2024-12-17 19:45:00,-0.7,55,1026.0,Clear,4.194478
South Korea,Seoul,2024-12-18 19:30:00,-3.9,49,1028.0,Clear,2.3889080000000003
South Korea,Seoul,2024-12-19 19:30:00,-0.3,22,1029.0,Clear,1.0000080000000002
South Korea,Seoul,2024-12-20 19:45:00,1.1,90,1021.0,Moderate snow,1.11112
South Korea,Seoul,2024-12-21 19:45:00,-2.1,44,1021.0,Clear,5.194486
South Korea,Seoul,2024-12-22 19:15:00,-1.4,39,1028.0,Clear,2.6944660000000002
South Korea,Seoul,2024-12-23 19:45:00,-0.9,65,1026.0,Clear,2.0000160000000005
South Korea,Seoul,2024-12-24 19:45:00,-0.2,35,1029.0,Partly Cloudy,1.0000080000000002
South Korea,Seoul,2024-12-25 19:15:00,1.8,71,1024.0,Partly Cloudy,1.0000080000000002
South Korea,Seoul,2024-12-26 19:30:00,-2.5,42,1027.0,Clear,5.805602
South Korea,Seoul,2024-12-27 19:15:00,-1.8,63,1024.0,Clear,4.388924
South Korea,Seoul,2024-12-28 19:45:00,-3.9,63,1024.0,Clear,3.3055820000000002
South Korea,Seoul,2024-12-29 19:15:00,0.0,64,1024.0,Clear,1.3055660000000002
South Korea,Seoul,2024-12-30 19:30:00,5.3,70,1017.0,Clear,3.388916
South Korea,Seoul,2024-12-31 19:30:00,-0.8,55,1023.0,Clear,2.3055740000000005
