Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Spain,Madrid,2025-05-01 11:00:00,14.2,88,1016.0,Overcast,3.6944740000000005
Spain,Madrid,2025-05-02 11:00:00,13.2,82,1015.0,Torrential rain shower,2.3055740000000005
Spain,Madrid,2025-05-03 11:00:00,15.2,72,1016.0,Partly cloudy,3.3055820000000002
Spain,Madrid,2025-05-04 10:45:00,12.4,88,1013.0,Overcast,6.111160000000001
Spain,Madrid,2025-05-05 11:00:00,13.1,82,1013.0,Partly cloudy,1.8889040000000001
Spain,Madrid,2025-05-06 11:00:00,12.2,54,1015.0,Partly cloudy,2.6111320000000005
Spain,Madrid,2025-05-07 10:45:00,12.2,54,1015.0,Partly cloudy,2.805578
Spain,Madrid,2025-05-08 10:45:00,13.3,82,1011.0,Partly cloudy,1.611124
Spain,Madrid,2025-05-09 11:15:00,13.1,77,1012.0,Partly cloudy,4.611148000000001
Spain,Madrid,2025-05-10 11:00:00,14.4,88,1010.0,Partly cloudy,4.694482
Spain,Madrid,2025-05-11 10:45:00,12.3,58,1014.0,Sunny,2.194462
Spain,Madrid,2025-05-12 11:15:00,13.2,67,1016.0,Sunny,2.8889120000000004
Spain,Madrid,2025-05-13 11:15:00,15.1,63,1015.0,Sunny,1.3889
Spain,Madrid,2025-05-14 11:15:00,16.2,68,1016.0,Sunny,1.8055700000000001
Spain,Madrid,2025-05-15 11:00:00,15.3,63,1018.0,Patchy light drizzle,2.194462
Spain,Madrid,2025-05-16 11:00:00,16.2,63,1019.0,Sunny,1.0000080000000002
Spain,Madrid,2025-05-17 10:45:00,17.3,52,1017.0,Sunny,1.8055700000000001
Spain,Madrid,2025-05-18 10:45:00,19.1,56,1016.0,Sunny,2.8889120000000004
Spain,Madrid,2025-05-19 11:00:00,16.3,59,1017.0,Sunny,7.888952000000001
Spain,Madrid,2025-05-20 11:00:00,18.4,52,1023.0,Sunny,1.0000080000000002
Spain,Madrid,2025-05-21 10:45:00,19.3,40,1022.0,Sunny,1.1944540000000001
Spain,Madrid,2025-05-22 10:45:00,17.3,55,1019.0,Sunny,5.00004
Spain,Madrid,2025-05-23 11:00:00,15.1,41,1018.0,Sunny,6.388940000000001
Spain,Madrid,2025-05-24 10:45:00,16.1,39,1022.0,Sunny,1.0000080000000002
Spain,Madrid,2025-05-25 10:30:00,20.1,43,1022.0,Sunny,1.0000080000000002
Spain,Madrid,2025-05-26 11:00:00,23.3,44,1022.0,Sunny,1.0000080000000002
Spain,Madrid,2025-05-27 11:00:00,22.0,53,1023.0,Sunny,2.111128
Spain,Madrid,2025-05-28 10:45:00,24.2,39,1026.0,Sunny,2.3889080000000003
Spain,Madrid,2025-05-29 10:45:00,26.1,42,1025.0,Sunny,2.111128
Spain,Madrid,2025-05-30 11:00:00,26.3,39,1023.0,Sunny,1.8055700000000001
Spain,Madrid,2025-05-31 10:45:00,26.3,42,1023.0,Sunny,1.3055660000000002
