Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Sri Lanka,Colombo,2025-01-01 16:15:00,24.2,100,1008.0,Light rain,6.305606
Sri Lanka,Colombo,2025-01-02 15:45:00,24.2,91,1009.0,Light rain,5.3889320000000005
Sri Lanka,Colombo,2025-01-03 16:15:00,30.1,62,1008.0,Partly cloudy,5.805602
Sri Lanka,Colombo,2025-01-04 15:45:00,30.1,62,1009.0,Light rain,5.888936
Sri Lanka,Colombo,2025-01-05 15:45:00,27.5,70,1009.0,Patchy rain nearby,5.194486
Sri Lanka,Colombo,2025-01-06 16:00:00,30.4,59,1009.0,Sunny,6.194494000000001
Sri Lanka,Colombo,2025-01-07 16:15:00,30.1,70,1008.0,Partly cloudy,6.888944000000001
Sri Lanka,Colombo,2025-01-08 15:30:00,30.2,66,1008.0,Partly cloudy,5.111152
Sri Lanka,Colombo,2025-01-09 15:30:00,31.2,66,1008.0,Partly cloudy,5.3889320000000005
Sri Lanka,Colombo,2025-01-10 15:45:00,32.1,59,1009.0,Partly cloudy,7.000056000000001
Sri Lanka,Colombo,2025-01-11 16:00:00,29.0,62,1010.0,Partly cloudy,7.888952000000001
Sri Lanka,Colombo,2025-01-12 16:00:00,27.2,89,1009.0,Overcast,3.8055860000000004
Sri Lanka,Colombo,2025-01-13 17:00:00,27.0,80,1008.0,Patchy light rain,1.0000080000000002
Sri Lanka,Colombo,2025-01-14 16:30:00,26.3,94,1009.0,Partly cloudy,2.805578
Sri Lanka,Colombo,2025-01-15 15:15:00,30.1,66,1009.0,Partly cloudy,1.694458
Sri Lanka,Colombo,2025-01-16 15:30:00,30.1,70,1008.0,Partly cloudy,4.000032000000001
Sri Lanka,Colombo,2025-01-17 16:00:00,32.2,56,1006.0,Partly cloudy,5.805602
Sri Lanka,Colombo,2025-01-18 16:00:00,30.1,70,1006.0,Overcast,4.388924
Sri Lanka,Colombo,2025-01-19 15:30:00,27.3,89,1008.0,Light drizzle,5.694490000000001
Sri Lanka,Colombo,2025-01-20 16:00:00,31.1,66,1006.0,Partly cloudy,3.0000240000000007
Sri Lanka,Colombo,2025-01-21 16:00:00,29.0,75,1006.0,Partly cloudy,7.388948000000001
Sri Lanka,Colombo,2025-01-22 15:45:00,30.2,66,1006.0,Partly cloudy,1.8889040000000001
Sri Lanka,Colombo,2025-01-23 16:00:00,31.0,71,1007.0,Partly cloudy,2.194462
Sri Lanka,Colombo,2025-01-24 16:00:00,25.0,94,1009.0,Partly cloudy,3.3055820000000002
Sri Lanka,Colombo,2025-01-25 16:00:00,29.3,66,1007.0,Light rain,2.3055740000000005
Sri Lanka,Colombo,2025-01-26 15:45:00,30.4,70,1006.0,Partly cloudy,3.1944700000000004
Sri Lanka,Colombo,2025-01-27 16:00:00,31.2,52,1006.0,Sunny,5.194486
Sri Lanka,Colombo,2025-01-28 16:30:00,29.3,70,1008.0,Overcast,4.111144
Sri Lanka,Colombo,2025-01-29 16:00:00,29.2,75,1008.0,Mist,4.000032000000001
Sri Lanka,Colombo,2025-01-30 15:45:00,30.2,75,1006.0,Partly cloudy,3.5000280000000004
Sri Lanka,Colombo,2025-01-31 16:00:00,30.1,75,1007.0,Partly cloudy,3.6944740000000005
