Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Sudan,Juba,2024-09-01 14:00:00,21.5,86,1014.0,Light drizzle,5.805602
Sudan,Khartoum,2024-09-01 14:00:00,33.6,40,1008.0,Partly Cloudy,2.6944660000000002
Sudan,Juba,2024-09-02 14:15:00,28.9,52,1011.0,Partly Cloudy,1.694458
Sudan,Khartoum,2024-09-02 14:15:00,29.6,52,1012.0,Partly Cloudy,6.694498000000001
Sudan,Juba,2024-09-03 14:30:00,29.8,50,1012.0,Partly Cloudy,1.11112
Sudan,Khartoum,2024-09-03 14:30:00,32.8,41,1010.0,Sunny,1.8889040000000001
Sudan,Juba,2024-09-04 14:00:00,28.1,61,1011.0,Sunny,4.000032000000001
Sudan,Khartoum,2024-09-04 14:00:00,35.4,36,1008.0,Sunny,1.3889
Sudan,Juba,2024-09-05 14:00:00,30.1,49,1010.0,Partly Cloudy,2.3889080000000003
Sudan,Khartoum,2024-09-05 14:00:00,28.8,55,1009.0,Patchy rain nearby,5.305598000000001
Sudan,Juba,2024-09-06 14:15:00,29.2,54,1011.0,Partly Cloudy,3.111136
Sudan,Khartoum,2024-09-06 14:15:00,32.8,46,1010.0,Sunny,5.194486
Sudan,Juba,2024-09-07 14:00:00,31.2,46,1012.0,Sunny,1.8889040000000001
Sudan,Khartoum,2024-09-07 14:00:00,35.5,36,1010.0,Sunny,2.3055740000000005
Sudan,Juba,2024-09-08 14:15:00,30.2,50,1012.0,Partly Cloudy,1.0000080000000002
Sudan,Khartoum,2024-09-08 14:15:00,34.5,40,1010.0,Sunny,4.805594000000001
Sudan,Juba,2024-09-09 14:30:00,32.2,41,1010.0,Sunny,1.1944540000000001
Sudan,Khartoum,2024-09-09 14:30:00,36.3,34,1009.0,Sunny,5.00004
Sudan,Juba,2024-09-10 14:30:00,30.1,50,1011.0,Sunny,2.3889080000000003
Sudan,Khartoum,2024-09-10 14:30:00,37.0,29,1008.0,Sunny,3.1944700000000004
Sudan,Juba,2024-09-11 14:15:00,30.8,47,1011.0,Partly Cloudy,1.5000120000000003
Sudan,Khartoum,2024-09-11 14:15:00,36.6,30,1008.0,Sunny,3.6944740000000005
Sudan,Juba,2024-09-12 14:15:00,33.4,39,1010.0,Sunny,2.194462
Sudan,Khartoum,2024-09-12 14:15:00,39.0,23,1007.0,Sunny,2.3055740000000005
Sudan,Juba,2024-09-13 14:30:00,31.3,47,1010.0,Partly Cloudy,3.111136
Sudan,Khartoum,2024-09-13 14:30:00,39.4,24,1006.0,Sunny,5.805602
Sudan,Juba,2024-09-14 14:30:00,29.6,52,1012.0,Sunny,4.694482
Sudan,Khartoum,2024-09-14 14:30:00,37.7,27,1007.0,Sunny,6.000048000000001
Sudan,Juba,2024-09-15 14:00:00,32.6,40,1009.0,Sunny,3.0000240000000007
Sudan,Khartoum,2024-09-15 14:00:00,37.8,29,1006.0,Sunny,3.8889200000000006
Sudan,Juba,2024-09-16 13:15:00,31.6,45,1011.0,Sunny,2.111128
Sudan,Khartoum,2024-09-16 13:15:00,37.4,28,1008.0,Sunny,5.00004
Sudan,Juba,2024-09-17 13:00:00,29.5,50,1012.0,Partly Cloudy,3.388916
Sudan,Khartoum,2024-09-17 13:00:00,35.4,37,1010.0,Sunny,7.000056000000001
Sudan,Juba,2024-09-18 12:45:00,29.7,55,1012.0,Sunny,2.3055740000000005
Sudan,Khartoum,2024-09-18 12:45:00,33.8,40,1011.0,Sunny,5.305598000000001
Sudan,Juba,2024-09-19 12:45:00,30.6,49,1011.0,Sunny,3.388916
Sudan,Khartoum,2024-09-19 12:45:00,34.1,36,1009.0,Sunny,2.805578
Sudan,Juba,2024-09-20 13:00:00,31.7,41,1010.0,Partly Cloudy,3.8055860000000004
Sudan,Khartoum,2024-09-20 13:00:00,37.0,28,1007.0,Sunny,1.8889040000000001
Sudan,Juba,2024-09-21 13:00:00,30.4,48,1012.0,Sunny,4.888928000000001
Sudan,Khartoum,2024-09-21 13:00:00,39.0,21,1007.0,Sunny,1.611124
Sudan,Juba,2024-09-22 12:30:00,30.7,47,1011.0,Sunny,1.611124
Sudan,Khartoum,2024-09-22 12:30:00,37.3,28,1008.0,Sunny,3.388916
Sudan,Juba,2024-09-23 11:45:00,30.6,48,1010.0,Sunny,1.611124
Sudan,Khartoum,2024-09-23 11:45:00,36.8,21,1008.0,Sunny,1.0000080000000002
Sudan,Juba,2024-09-24 11:45:00,26.8,62,1013.0,Sunny,1.611124
Sudan,Khartoum,2024-09-24 11:45:00,37.4,24,1008.0,Sunny,5.194486
Sudan,Juba,2024-09-25 11:30:00,29.1,57,1013.0,Sunny,3.0000240000000007
Sudan,Khartoum,2024-09-25 11:30:00,36.5,27,1009.0,Sunny,2.6944660000000002
Sudan,Juba,2024-09-26 11:45:00,31.1,36,1011.0,Sunny,1.0000080000000002
Sudan,Khartoum,2024-09-26 11:45:00,37.4,15,1007.0,Sunny,2.8889120000000004
Sudan,Juba,2024-09-27 12:00:00,32.1,41,1010.0,Sunny,2.194462
Sudan,Khartoum,2024-09-27 12:00:00,37.1,28,1007.0,Sunny,4.611148000000001
Sudan,Juba,2024-09-28 12:00:00,34.4,30,1009.0,Sunny,1.8889040000000001
Sudan,Khartoum,2024-09-28 12:00:00,37.4,30,1007.0,Sunny,5.305598000000001
Sudan,Juba,2024-09-29 11:30:00,34.1,23,1009.0,Sunny,5.805602
Sudan,Khartoum,2024-09-29 11:30:00,37.3,24,1007.0,Sunny,2.6944660000000002
Sudan,Juba,2024-09-30 11:30:00,25.1,68,1012.0,Sunny,3.3055820000000002
