Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Suriname,Paramaribo,2024-06-01 11:30:00,26.0,94,1015.0,Light rain,1.8889040000000001
Suriname,Paramaribo,2024-06-02 11:00:00,27.0,89,1014.0,Overcast,1.694458
Suriname,Paramaribo,2024-06-03 11:15:00,29.0,84,1014.0,Partly cloudy,2.50002
Suriname,Paramaribo,2024-06-04 11:15:00,30.0,75,1014.0,Partly cloudy,2.50002
Suriname,Paramaribo,2024-06-05 11:15:00,30.0,75,1014.0,Partly cloudy,3.6111400000000002
Suriname,Paramaribo,2024-06-06 11:00:00,30.0,75,1013.0,Partly cloudy,3.111136
Suriname,Paramaribo,2024-06-07 11:00:00,27.4,89,1015.0,Partly cloudy,1.694458
Suriname,Paramaribo,2024-06-08 11:15:00,29.1,79,1016.0,Light rain,3.111136
Suriname,Paramaribo,2024-06-09 11:15:00,30.3,75,1013.0,Partly cloudy,1.8889040000000001
Suriname,Paramaribo,2024-06-10 11:15:00,29.0,79,1014.0,Partly cloudy,2.50002
Suriname,Paramaribo,2024-06-11 11:15:00,31.2,66,1014.0,Overcast,3.111136
Suriname,Paramaribo,2024-06-12 11:15:00,28.1,94,1014.0,Light rain,1.8889040000000001
Suriname,Paramaribo,2024-06-13 11:00:00,29.4,67,1013.0,Light rain shower,2.6111320000000005
Suriname,Paramaribo,2024-06-14 11:00:00,29.3,75,1014.0,Partly cloudy,3.6111400000000002
Suriname,Paramaribo,2024-06-15 11:00:00,27.2,77,1014.0,Partly Cloudy,2.805578
Suriname,Paramaribo,2024-06-16 10:45:00,27.3,84,1014.0,Partly cloudy,3.111136
Suriname,Paramaribo,2024-06-17 11:00:00,28.2,84,1012.0,Partly cloudy,1.0000080000000002
Suriname,Paramaribo,2024-06-18 11:00:00,29.3,75,1012.0,Partly cloudy,3.111136
Suriname,Paramaribo,2024-06-19 11:00:00,30.3,75,1012.0,Partly cloudy,3.6111400000000002
Suriname,Paramaribo,2024-06-20 10:45:00,29.4,75,1012.0,Partly cloudy,3.6111400000000002
Suriname,Paramaribo,2024-06-22 10:45:00,27.1,84,1014.0,Partly cloudy,1.11112
Suriname,Paramaribo,2024-06-23 10:45:00,29.1,79,1014.0,Partly cloudy,1.8889040000000001
Suriname,Paramaribo,2024-06-24 10:45:00,27.3,84,1013.0,Partly cloudy,1.0000080000000002
Suriname,Paramaribo,2024-06-25 10:15:00,25.4,85,1015.0,Light rain shower,3.0000240000000007
Suriname,Paramaribo,2024-06-26 10:30:00,26.1,89,1015.0,Partly cloudy,1.11112
Suriname,Paramaribo,2024-06-27 10:15:00,27.8,69,1014.0,Patchy rain nearby,1.3889
Suriname,Paramaribo,2024-06-28 10:15:00,28.3,73,1013.0,Sunny,2.194462
Suriname,Paramaribo,2024-06-29 09:45:00,28.2,79,1013.0,Partly cloudy,1.694458
Suriname,Paramaribo,2024-06-30 10:30:00,27.0,84,1014.0,Partly cloudy,1.0000080000000002
