Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Swaziland,Mbabane,2024-05-16 10:45:00,22.2,39,1025.0,Sunny,1.694458
Swaziland,Mbabane,2024-05-16 16:00:00,22.5,38,1021.0,Sunny,2.111128
Swaziland,Mbabane,2024-05-17 18:00:00,16.9,44,1020.0,Clear,1.0000080000000002
Swaziland,Mbabane,2024-05-18 16:30:00,19.6,59,1021.0,Partly Cloudy,4.194478
Swaziland,Mbabane,2024-05-19 16:00:00,21.0,51,1020.0,Sunny,3.6111400000000002
Swaziland,Mbabane,2024-05-20 16:45:00,24.0,61,1024.0,Partly cloudy,3.6111400000000002
Swaziland,Mbabane,2024-05-21 16:45:00,21.1,48,1024.0,Sunny,3.0000240000000007
Swaziland,Mbabane,2024-05-22 16:15:00,19.8,41,1022.0,Sunny,3.111136
Swaziland,Mbabane,2024-05-23 16:00:00,25.0,41,1020.0,Sunny,1.8889040000000001
Swaziland,Mbabane,2024-05-24 16:30:00,19.3,46,1021.0,Sunny,3.1944700000000004
Swaziland,Mbabane,2024-05-25 16:00:00,19.9,48,1020.0,Sunny,3.8055860000000004
Swaziland,Mbabane,2024-05-26 16:00:00,22.7,26,1019.0,Sunny,3.0000240000000007
Swaziland,Mbabane,2024-05-27 16:30:00,18.6,53,1025.0,Sunny,3.6944740000000005
Swaziland,Mbabane,2024-05-28 16:30:00,20.1,39,1024.0,Sunny,3.111136
Swaziland,Mbabane,2024-05-29 16:00:00,20.5,34,1019.0,Sunny,3.388916
Swaziland,Mbabane,2024-05-30 15:45:00,24.6,16,1012.0,Sunny,2.805578
Swaziland,Mbabane,2024-05-31 16:15:00,21.3,32,1015.0,Sunny,3.8055860000000004
