Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Sweden,Stockholm,2024-10-01 12:00:00,11.3,82,1026.0,Partly cloudy,3.6111400000000002
Sweden,Stockholm,2024-10-02 11:30:00,10.4,76,1018.0,Sunny,4.611148000000001
Sweden,Stockholm,2024-10-03 11:30:00,7.1,100,1021.0,Partly cloudy,3.6944740000000005
Sweden,Stockholm,2024-10-04 11:45:00,10.3,94,1020.0,Sunny,2.3055740000000005
Sweden,Stockholm,2024-10-05 11:30:00,11.0,82,1019.0,Partly cloudy,3.3055820000000002
Sweden,Stockholm,2024-10-06 11:15:00,13.3,72,1013.0,Sunny,4.500036000000001
Sweden,Stockholm,2024-10-07 11:45:00,11.4,87,1011.0,Partly cloudy,1.0000080000000002
Sweden,Stockholm,2024-10-08 11:45:00,13.2,77,1009.0,Partly cloudy,3.111136
Sweden,Stockholm,2024-10-09 11:45:00,13.3,100,993.0,Moderate rain,5.805602
Sweden,Stockholm,2024-10-10 11:45:00,14.3,94,988.0,Light rain,6.500052
Sweden,Stockholm,2024-10-11 11:45:00,7.2,87,997.0,Partly cloudy,3.8055860000000004
Sweden,Stockholm,2024-10-12 11:45:00,9.3,71,1015.0,Partly cloudy,4.3055900000000005
Sweden,Stockholm,2024-10-13 11:30:00,10.3,87,1008.0,Partly cloudy,5.805602
Sweden,Stockholm,2024-10-14 11:30:00,10.1,94,1009.0,Partly cloudy,2.194462
Sweden,Stockholm,2024-10-15 11:30:00,5.3,75,1020.0,Sunny,4.000032000000001
Sweden,Stockholm,2024-10-16 11:30:00,9.4,62,1029.0,Sunny,3.8055860000000004
Sweden,Stockholm,2024-10-17 11:30:00,13.4,72,1024.0,Sunny,6.305606
Sweden,Stockholm,2024-10-18 11:30:00,12.1,82,1020.0,Sunny,5.111152
Sweden,Stockholm,2024-10-19 11:30:00,14.2,77,1022.0,Sunny,5.111152
Sweden,Stockholm,2024-10-20 11:30:00,13.2,88,1020.0,Light rain,4.888928000000001
Sweden,Stockholm,2024-10-21 11:15:00,14.2,82,1010.0,Sunny,6.888944000000001
Sweden,Stockholm,2024-10-22 11:15:00,11.3,82,1016.0,Sunny,4.888928000000001
Sweden,Stockholm,2024-10-23 11:15:00,11.2,62,1020.0,Sunny,5.805602
Sweden,Stockholm,2024-10-24 11:15:00,12.4,82,1025.0,Sunny,4.611148000000001
Sweden,Stockholm,2024-10-25 11:15:00,10.2,82,1021.0,Partly cloudy,3.0000240000000007
Sweden,Stockholm,2024-10-26 11:15:00,12.0,71,1023.0,Sunny,3.1944700000000004
Sweden,Stockholm,2024-10-27 10:15:00,11.0,94,1012.0,Overcast,7.111168000000001
Sweden,Stockholm,2024-10-28 10:15:00,9.3,81,1013.0,Sunny,5.3889320000000005
Sweden,Stockholm,2024-10-29 10:00:00,6.4,69,1021.0,Overcast,2.194462
Sweden,Stockholm,2024-10-30 10:00:00,9.0,76,1009.0,Sunny,3.5000280000000004
Sweden,Stockholm,2024-10-31 10:00:00,8.3,81,1009.0,Sunny,4.388924
