Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Switzerland,Bern,2024-05-16 10:45:00,14.0,82,1006.0,Partly cloudy,1.0000080000000002
Switzerland,Bern,2024-05-16 16:15:00,12.0,100,1006.0,Moderate rain,3.111136
Switzerland,Bern,2024-05-17 18:15:00,16.0,55,1010.0,Partly cloudy,3.111136
Switzerland,Bern,2024-05-18 16:30:00,17.0,55,1011.0,Partly cloudy,3.6111400000000002
Switzerland,Bern,2024-05-19 16:15:00,21.0,56,1011.0,Partly cloudy,1.8889040000000001
Switzerland,Bern,2024-05-20 16:45:00,22.0,57,1008.0,Partly cloudy,1.8889040000000001
Switzerland,Bern,2024-05-21 16:45:00,17.0,77,1009.0,Partly cloudy,4.694482
Switzerland,Bern,2024-05-22 16:15:00,18.0,60,1014.0,Partly cloudy,1.694458
Switzerland,Bern,2024-05-23 16:00:00,13.0,82,1018.0,Partly cloudy,5.305598000000001
Switzerland,Bern,2024-05-24 16:30:00,17.0,55,1018.0,Partly cloudy,1.0000080000000002
Switzerland,Bern,2024-05-25 16:15:00,20.0,49,1017.0,Partly cloudy,1.0000080000000002
Switzerland,Bern,2024-05-26 16:15:00,20.0,64,1018.0,Overcast,1.694458
Switzerland,Bern,2024-05-27 16:30:00,16.0,88,1018.0,Moderate or heavy rain with thunder,4.194478
Switzerland,Bern,2024-05-28 16:45:00,20.0,37,1020.0,Partly cloudy,1.694458
Switzerland,Bern,2024-05-29 16:00:00,19.0,60,1015.0,Partly cloudy,3.6111400000000002
Switzerland,Bern,2024-05-30 15:45:00,15.0,88,1007.0,Moderate rain,2.50002
Switzerland,Bern,2024-05-31 16:15:00,10.0,94,1013.0,Light rain,4.694482
