Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Syria,Damascus,2024-07-01 16:15:00,35.3,19,1004.0,Sunny,7.805618000000001
Syria,Damascus,2024-07-02 16:15:00,34.2,20,1003.0,Sunny,8.305622
Syria,Damascus,2024-07-03 16:00:00,37.4,14,1005.0,Sunny,3.111136
Syria,Damascus,2024-07-04 16:15:00,39.1,11,1008.0,Sunny,4.694482
Syria,Damascus,2024-07-05 15:45:00,38.4,17,1008.0,Sunny,10.305638000000002
Syria,Damascus,2024-07-06 16:15:00,34.0,18,1001.0,Sunny,4.388924
Syria,Damascus,2024-07-07 16:00:00,34.0,24,1001.0,Sunny,6.6111640000000005
Syria,Damascus,2024-07-08 16:00:00,37.2,20,1006.0,Sunny,2.50002
Syria,Damascus,2024-07-09 15:45:00,37.1,22,1006.0,Sunny,7.805618000000001
Syria,Damascus,2024-07-10 16:00:00,39.2,11,1008.0,Sunny,7.194502
Syria,Damascus,2024-07-11 15:45:00,39.3,13,1010.0,Sunny,11.888984
Syria,Damascus,2024-07-12 16:00:00,38.2,11,1008.0,Sunny,1.0000080000000002
Syria,Damascus,2024-07-14 16:15:00,34.3,28,1003.0,Sunny,9.194518
Syria,Damascus,2024-07-15 16:00:00,37.4,22,1004.0,Sunny,6.111160000000001
Syria,Damascus,2024-07-16 15:45:00,36.2,18,1003.0,Sunny,5.3889320000000005
Syria,Damascus,2024-07-17 15:45:00,38.0,19,1008.0,Sunny,3.111136
Syria,Damascus,2024-07-18 15:45:00,39.2,13,1006.0,Sunny,1.11112
Syria,Damascus,2024-07-19 15:30:00,39.4,19,1003.0,Sunny,10.805642
Syria,Damascus,2024-07-20 15:45:00,38.4,16,1004.0,Sunny,9.194518
Syria,Damascus,2024-07-23 15:30:00,37.7,17,1002.0,Sunny,6.111160000000001
Syria,Damascus,2024-07-24 15:45:00,36.7,19,999.0,Sunny,8.611180000000001
Syria,Damascus,2024-07-25 15:30:00,35.2,17,999.0,Sunny,8.500068
Syria,Damascus,2024-07-26 15:30:00,33.3,20,1001.0,Sunny,8.500068
Syria,Damascus,2024-07-27 15:30:00,36.2,15,1004.0,Sunny,5.00004
Syria,Damascus,2024-07-28 15:45:00,37.1,18,1004.0,Sunny,4.694482
Syria,Damascus,2024-07-29 15:15:00,36.8,21,1001.0,Sunny,6.305606
Syria,Damascus,2024-07-30 15:30:00,36.5,18,999.0,Sunny,5.888936
Syria,Damascus,2024-07-31 15:15:00,37.1,16,1002.0,Sunny,3.8055860000000004
