Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Tajikistan,Dushanbe,2024-11-01 14:15:00,19.2,40,1023.0,Sunny,1.0000080000000002
Tajikistan,Dushanbe,2024-11-02 14:15:00,22.0,27,1022.0,Sunny,1.0000080000000002
Tajikistan,Dushanbe,2024-11-03 14:15:00,25.3,22,1018.0,Sunny,1.0000080000000002
Tajikistan,Dushanbe,2024-11-04 14:00:00,26.2,28,1017.0,Partly cloudy,1.8055700000000001
Tajikistan,Dushanbe,2024-11-05 14:00:00,21.1,53,1018.0,Partly cloudy,2.0000160000000005
Tajikistan,Dushanbe,2024-11-06 14:00:00,21.1,47,1020.0,Patchy rain nearby,2.805578
Tajikistan,Dushanbe,2024-11-07 14:00:00,13.1,82,1027.0,Partly cloudy,1.11112
Tajikistan,Dushanbe,2024-11-08 14:00:00,13.2,62,1030.0,Mist,1.3055660000000002
Tajikistan,Dushanbe,2024-11-09 14:00:00,15.1,59,1027.0,Sunny,1.0000080000000002
Tajikistan,Dushanbe,2024-11-10 13:45:00,16.4,55,1026.0,Overcast,1.0000080000000002
Tajikistan,Dushanbe,2024-11-11 14:00:00,12.6,58,1026.0,Patchy rain nearby,1.0000080000000002
Tajikistan,Dushanbe,2024-11-12 14:00:00,16.0,36,1020.0,Overcast,1.0000080000000002
Tajikistan,Dushanbe,2024-11-13 14:00:00,10.2,87,1022.0,Light rain,1.3889
Tajikistan,Dushanbe,2024-11-14 14:15:00,11.0,58,1025.0,Partly cloudy,1.0000080000000002
Tajikistan,Dushanbe,2024-11-15 14:00:00,11.3,66,1023.0,Mist,1.0000080000000002
Tajikistan,Dushanbe,2024-11-16 13:45:00,16.1,48,1020.0,Overcast,1.0000080000000002
Tajikistan,Dushanbe,2024-11-17 13:45:00,17.3,34,1020.0,Sunny,1.0000080000000002
Tajikistan,Dushanbe,2024-11-18 13:45:00,18.2,37,1020.0,Partly cloudy,1.0000080000000002
Tajikistan,Dushanbe,2024-11-19 14:00:00,19.4,43,1021.0,Partly cloudy,3.8055860000000004
Tajikistan,Dushanbe,2024-11-20 13:45:00,14.1,72,1023.0,Partly cloudy,2.3889080000000003
Tajikistan,Dushanbe,2024-11-21 13:45:00,12.2,82,1023.0,Overcast,1.8055700000000001
Tajikistan,Dushanbe,2024-11-22 14:00:00,17.4,52,1021.0,Partly cloudy,1.0000080000000002
Tajikistan,Dushanbe,2024-11-23 14:00:00,14.3,39,1022.0,Sunny,1.0000080000000002
Tajikistan,Dushanbe,2024-11-24 13:30:00,16.1,27,1019.0,Sunny,1.0000080000000002
Tajikistan,Dushanbe,2024-11-25 13:45:00,18.4,26,1020.0,Partly cloudy,1.0000080000000002
Tajikistan,Dushanbe,2024-11-26 14:00:00,20.3,30,1022.0,Partly cloudy,1.0000080000000002
Tajikistan,Dushanbe,2024-11-27 13:45:00,20.1,24,1021.0,Sunny,1.0000080000000002
Tajikistan,Dushanbe,2024-11-28 15:45:00,18.1,22,1013.0,Sunny,1.0000080000000002
Tajikistan,Dushanbe,2024-11-29 15:45:00,12.1,77,1018.0,Light rain shower,1.5000120000000003
Tajikistan,Dushanbe,2024-11-30 15:30:00,9.3,81,1023.0,Partly cloudy,1.0000080000000002
