Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Tanzania,Dodoma,2024-09-01 15:00:00,28.4,28,1013.0,Sunny,4.3055900000000005
Tanzania,Dodoma,2024-09-02 15:15:00,26.3,45,1020.0,Partly cloudy,6.111160000000001
Tanzania,Dodoma,2024-09-03 15:30:00,27.4,37,1019.0,Partly cloudy,3.6111400000000002
Tanzania,Dodoma,2024-09-04 15:00:00,26.2,34,1020.0,Partly cloudy,5.611156
Tanzania,Dodoma,2024-09-05 15:00:00,29.3,28,1011.0,Sunny,3.8889200000000006
Tanzania,Dodoma,2024-09-06 15:15:00,28.0,40,1020.0,Partly cloudy,6.111160000000001
Tanzania,Dodoma,2024-09-07 15:00:00,29.9,25,1013.0,Sunny,3.8055860000000004
Tanzania,Dodoma,2024-09-08 15:15:00,29.1,31,1019.0,Partly cloudy,6.694498000000001
Tanzania,Dodoma,2024-09-09 15:30:00,29.1,35,1018.0,Partly cloudy,4.694482
Tanzania,Dodoma,2024-09-10 15:30:00,29.4,35,1017.0,Partly cloudy,8.305622
Tanzania,Dodoma,2024-09-11 15:15:00,28.2,37,1018.0,Partly cloudy,5.305598000000001
Tanzania,Dodoma,2024-09-12 15:15:00,29.4,31,1019.0,Partly cloudy,4.694482
Tanzania,Dodoma,2024-09-13 15:30:00,31.3,17,1011.0,Sunny,6.388940000000001
Tanzania,Dodoma,2024-09-14 15:30:00,29.3,25,1019.0,Partly cloudy,5.194486
Tanzania,Dodoma,2024-09-15 15:00:00,30.7,16,1011.0,Sunny,2.805578
Tanzania,Dodoma,2024-09-16 14:15:00,27.1,37,1020.0,Partly cloudy,3.6944740000000005
Tanzania,Dodoma,2024-09-17 14:00:00,30.4,26,1020.0,Partly cloudy,3.8055860000000004
Tanzania,Dodoma,2024-09-18 13:45:00,29.6,30,1013.0,Sunny,3.6111400000000002
Tanzania,Dodoma,2024-09-19 13:45:00,29.6,31,1010.0,Sunny,3.5000280000000004
Tanzania,Dodoma,2024-09-20 14:00:00,31.4,27,1009.0,Sunny,3.388916
Tanzania,Dodoma,2024-09-21 14:00:00,30.8,25,1011.0,Sunny,4.611148000000001
Tanzania,Dodoma,2024-09-22 13:30:00,29.8,18,1013.0,Sunny,4.611148000000001
Tanzania,Dodoma,2024-09-23 12:45:00,28.2,35,1021.0,Partly cloudy,4.694482
Tanzania,Dodoma,2024-09-24 12:45:00,27.2,42,1020.0,Partly cloudy,5.500044000000001
Tanzania,Dodoma,2024-09-25 12:30:00,27.2,39,1021.0,Partly cloudy,4.3055900000000005
Tanzania,Dodoma,2024-09-26 12:45:00,29.3,35,1019.0,Partly cloudy,3.3055820000000002
Tanzania,Dodoma,2024-09-27 13:00:00,27.3,45,1018.0,Partly cloudy,3.1944700000000004
Tanzania,Dodoma,2024-09-28 13:00:00,30.2,26,1010.0,Sunny,3.5000280000000004
Tanzania,Dodoma,2024-09-29 12:30:00,28.8,32,1012.0,Sunny,3.6111400000000002
Tanzania,Dodoma,2024-09-30 12:30:00,28.7,36,1012.0,Sunny,2.3055740000000005
