Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Thailand,Nan,2024-06-01 21:30:00,27.0,94,1009.0,Partly cloudy,1.0000080000000002
Thailand,Bangkok,2024-06-01 21:30:00,30.0,75,1010.0,Partly cloudy,2.50002
Thailand,Nan,2024-06-02 21:00:00,28.0,84,1009.0,Partly cloudy,4.194478
Thailand,Bangkok,2024-06-02 21:00:00,30.0,70,1011.0,Partly cloudy,5.305598000000001
Thailand,Nan,2024-06-03 21:15:00,27.0,94,1007.0,Partly cloudy,1.0000080000000002
Thailand,Bangkok,2024-06-03 21:15:00,31.0,63,1009.0,Partly cloudy,3.111136
Thailand,Nan,2024-06-04 21:15:00,28.0,84,1006.0,Partly cloudy,1.694458
Thailand,Bangkok,2024-06-04 21:15:00,32.0,67,1008.0,Partly cloudy,3.6111400000000002
Thailand,Nan,2024-06-05 21:15:00,28.0,89,1007.0,Partly cloudy,1.0000080000000002
Thailand,Bangkok,2024-06-05 21:15:00,32.0,56,1009.0,Partly cloudy,5.305598000000001
Thailand,Nan,2024-06-06 21:00:00,28.0,84,1008.0,Partly cloudy,1.0000080000000002
Thailand,Bangkok,2024-06-06 21:00:00,31.0,71,1009.0,Partly cloudy,4.694482
Thailand,Nan,2024-06-07 21:00:00,27.3,94,1005.0,Light rain,1.0000080000000002
Thailand,Bangkok,2024-06-07 21:00:00,31.2,66,1007.0,Partly cloudy,3.6111400000000002
Thailand,Nan,2024-06-08 21:15:00,27.2,94,1003.0,Partly cloudy,1.694458
Thailand,Bangkok,2024-06-08 21:15:00,31.4,63,1006.0,Partly cloudy,4.194478
Thailand,Nan,2024-06-09 21:15:00,27.3,94,1004.0,Partly cloudy,1.0000080000000002
Thailand,Bangkok,2024-06-09 21:15:00,31.4,66,1006.0,Partly cloudy,4.694482
Thailand,Nan,2024-06-10 21:15:00,29.1,79,1006.0,Partly cloudy,1.0000080000000002
Thailand,Bangkok,2024-06-10 21:15:00,30.1,66,1008.0,Partly cloudy,3.6111400000000002
Thailand,Nan,2024-06-11 21:00:00,26.4,94,1007.0,Partly cloudy,1.0000080000000002
Thailand,Bangkok,2024-06-11 21:00:00,29.3,75,1008.0,Partly cloudy,2.50002
Thailand,Nan,2024-06-12 21:15:00,29.3,75,1008.0,Partly cloudy,2.50002
Thailand,Bangkok,2024-06-12 21:15:00,30.1,75,1010.0,Partly cloudy,2.50002
Thailand,Nan,2024-06-13 21:00:00,28.2,84,1007.0,Partly cloudy,2.50002
Thailand,Bangkok,2024-06-13 21:00:00,32.1,67,1007.0,Partly cloudy,3.6111400000000002
Thailand,Nan,2024-06-14 21:00:00,25.0,95,1005.0,Mist,1.11112
Thailand,Bangkok,2024-06-14 21:00:00,28.3,79,1007.0,Light rain,2.50002
Thailand,Nan,2024-06-15 21:00:00,25.5,92,1005.0,Patchy rain nearby,1.0000080000000002
Thailand,Bangkok,2024-06-15 21:00:00,32.2,57,1006.0,Partly Cloudy,4.111144
Thailand,Nan,2024-06-16 20:45:00,30.1,75,1005.0,Partly cloudy,1.694458
Thailand,Bangkok,2024-06-16 20:45:00,32.0,57,1006.0,Partly Cloudy,6.305606
Thailand,Nan,2024-06-17 21:00:00,25.5,92,1006.0,Patchy rain nearby,1.0000080000000002
Thailand,Bangkok,2024-06-17 21:00:00,28.2,70,1008.0,Partly cloudy,3.111136
Thailand,Nan,2024-06-18 21:00:00,25.0,95,1005.0,Light rain shower,1.0000080000000002
Thailand,Bangkok,2024-06-18 21:00:00,32.1,55,1006.0,Cloudy,3.6944740000000005
Thailand,Nan,2024-06-19 20:45:00,30.3,75,1003.0,Clear,1.0000080000000002
Thailand,Bangkok,2024-06-19 21:00:00,31.7,56,1005.0,Clear,4.500036000000001
Thailand,Nan,2024-06-20 20:45:00,31.2,71,1004.0,Partly cloudy,4.694482
Thailand,Bangkok,2024-06-20 20:45:00,32.4,54,1004.0,Partly Cloudy,4.805594000000001
Thailand,Nan,2024-06-21 20:30:00,30.2,84,1002.0,Partly cloudy,1.0000080000000002
Thailand,Bangkok,2024-06-21 20:45:00,30.3,75,1004.0,Partly cloudy,3.6111400000000002
Thailand,Nan,2024-06-22 20:45:00,32.4,67,1002.0,Partly cloudy,1.8889040000000001
Thailand,Bangkok,2024-06-22 20:45:00,31.3,71,1004.0,Partly cloudy,4.194478
Thailand,Nan,2024-06-23 20:45:00,30.1,89,1002.0,Overcast,1.0000080000000002
Thailand,Bangkok,2024-06-23 20:45:00,32.4,56,1005.0,Partly cloudy,6.111160000000001
Thailand,Nan,2024-06-24 20:45:00,29.2,84,1003.0,Partly cloudy,1.8889040000000001
Thailand,Bangkok,2024-06-25 20:15:00,27.7,74,1006.0,Patchy rain nearby,3.6944740000000005
Thailand,Nan,2024-06-26 20:30:00,27.1,94,1007.0,Partly cloudy,3.111136
Thailand,Bangkok,2024-06-26 20:30:00,27.1,89,1007.0,Partly cloudy,1.694458
Thailand,Nan,2024-06-27 20:15:00,27.0,89,1008.0,Partly cloudy,1.0000080000000002
Thailand,Bangkok,2024-06-27 20:15:00,30.4,75,1008.0,Partly cloudy,4.194478
Thailand,Nan,2024-06-28 20:15:00,30.2,79,1006.0,Partly cloudy,1.694458
Thailand,Bangkok,2024-06-28 20:15:00,30.0,66,1008.0,Partly cloudy,4.694482
Thailand,Nan,2024-06-29 19:45:00,30.3,75,1006.0,Partly cloudy,3.6111400000000002
Thailand,Bangkok,2024-06-29 19:45:00,29.4,79,1009.0,Partly cloudy,3.6111400000000002
Thailand,Nan,2024-06-30 20:30:00,27.2,89,1007.0,Light rain,1.0000080000000002
Thailand,Bangkok,2024-06-30 20:30:00,27.0,89,1009.0,Patchy light rain with thunder,7.805618000000001
