Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Timor-Leste,Dili,2025-05-01 18:00:00,25.9,83,1010.0,Patchy rain nearby,1.1944540000000001
Timor-Leste,Dili,2025-05-02 18:00:00,27.0,77,1009.0,Patchy rain nearby,1.0000080000000002
Timor-Leste,Dili,2025-05-03 18:00:00,26.7,81,1009.0,Patchy rain nearby,2.3055740000000005
Timor-Leste,Dili,2025-05-04 17:45:00,26.6,82,1009.0,Light rain shower,3.1944700000000004
Timor-Leste,Dili,2025-05-05 18:00:00,26.4,83,1009.0,Light rain shower,1.0000080000000002
Timor-Leste,Dili,2025-05-06 18:00:00,26.0,85,1009.0,Light rain shower,2.194462
Timor-Leste,Dili,2025-05-07 17:45:00,26.4,86,1008.0,Moderate or heavy rain shower,2.3055740000000005
Timor-Leste,Dili,2025-05-08 17:45:00,27.1,80,1008.0,Patchy rain nearby,4.000032000000001
Timor-Leste,Dili,2025-05-09 18:15:00,26.0,78,1009.0,Patchy rain nearby,1.694458
Timor-Leste,Dili,2025-05-10 18:00:00,25.7,81,1009.0,Light rain shower,1.11112
Timor-Leste,Dili,2025-05-11 17:45:00,26.5,73,1008.0,Patchy rain nearby,2.194462
Timor-Leste,Dili,2025-05-12 18:15:00,26.3,75,1008.0,Patchy rain nearby,2.50002
Timor-Leste,Dili,2025-05-13 18:15:00,26.1,79,1010.0,Patchy rain nearby,1.0000080000000002
Timor-Leste,Dili,2025-05-14 18:15:00,26.2,82,1010.0,Patchy rain nearby,1.3889
Timor-Leste,Dili,2025-05-15 18:00:00,26.5,81,1009.0,Patchy rain nearby,2.3055740000000005
Timor-Leste,Dili,2025-05-16 18:00:00,27.0,71,1010.0,Sunny,1.5000120000000003
Timor-Leste,Dili,2025-05-17 17:45:00,26.8,69,1009.0,Patchy rain nearby,1.611124
Timor-Leste,Dili,2025-05-18 17:45:00,26.2,74,1010.0,Patchy rain nearby,2.3889080000000003
Timor-Leste,Dili,2025-05-19 18:00:00,26.3,74,1010.0,Patchy rain nearby,2.6944660000000002
Timor-Leste,Dili,2025-05-20 18:00:00,25.6,77,1009.0,Partly Cloudy,1.0000080000000002
Timor-Leste,Dili,2025-05-21 17:45:00,27.1,77,1008.0,Patchy rain nearby,2.111128
Timor-Leste,Dili,2025-05-22 17:45:00,27.3,75,1007.0,Patchy rain nearby,2.8889120000000004
Timor-Leste,Dili,2025-05-23 18:00:00,26.1,80,1008.0,Patchy rain nearby,1.694458
Timor-Leste,Dili,2025-05-24 17:45:00,25.8,83,1008.0,Patchy rain nearby,1.3889
Timor-Leste,Dili,2025-05-25 17:30:00,26.7,84,1009.0,Patchy rain nearby,2.8889120000000004
Timor-Leste,Dili,2025-05-26 18:00:00,26.9,82,1009.0,Sunny,3.8055860000000004
Timor-Leste,Dili,2025-05-27 18:00:00,26.3,86,1010.0,Patchy rain nearby,1.0000080000000002
Timor-Leste,Dili,2025-05-28 17:45:00,26.5,83,1010.0,Light rain shower,1.0000080000000002
Timor-Leste,Dili,2025-05-29 17:45:00,26.5,83,1010.0,Light rain shower,1.11112
Timor-Leste,Dili,2025-05-30 18:00:00,26.8,83,1011.0,Patchy rain nearby,3.6944740000000005
Timor-Leste,Dili,2025-05-31 17:45:00,27.4,78,1011.0,Light rain shower,3.5000280000000004
