Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Tonga,Nuku`Aloia,2024-07-01 02:30:00,22.0,83,1018.0,Partly cloudy,4.694482
Tonga,Nuku`Aloia,2024-07-02 02:15:00,22.3,78,1020.0,Partly cloudy,4.194478
Tonga,Nuku`Aloia,2024-07-03 02:15:00,22.3,88,1020.0,Partly cloudy,3.6111400000000002
Tonga,Nuku`Aloia,2024-07-04 02:00:00,23.1,94,1017.0,Partly cloudy,3.111136
Tonga,Nuku`Aloia,2024-07-05 02:15:00,22.3,94,1016.0,Partly cloudy,1.0000080000000002
Tonga,Nuku`Aloia,2024-07-06 01:45:00,24.1,94,1010.0,Partly cloudy,5.305598000000001
Tonga,Nuku`Aloia,2024-07-07 02:15:00,20.4,83,1012.0,Overcast,1.8889040000000001
Tonga,Nuku`Aloia,2024-07-08 02:00:00,20.2,64,1019.0,Partly cloudy,5.305598000000001
Tonga,Nuku`Aloia,2024-07-09 02:00:00,21.3,69,1022.0,Partly cloudy,6.111160000000001
Tonga,Nuku`Aloia,2024-07-10 01:45:00,21.2,83,1021.0,Partly cloudy,6.111160000000001
Tonga,Nuku`Aloia,2024-07-11 02:00:00,21.2,73,1020.0,Partly cloudy,6.111160000000001
Tonga,Nuku`Aloia,2024-07-12 01:45:00,20.3,83,1017.0,Partly cloudy,4.694482
Tonga,Nuku`Aloia,2024-07-13 02:00:00,19.2,88,1015.0,Partly cloudy,4.194478
Tonga,Nuku`Aloia,2024-07-14 02:00:00,20.1,88,1015.0,Partly cloudy,3.111136
Tonga,Nuku`Aloia,2024-07-15 02:15:00,21.7,69,1017.0,Patchy rain nearby,4.111144
Tonga,Nuku`Aloia,2024-07-16 02:00:00,22.0,68,1016.0,Partly Cloudy,5.888936
Tonga,Nuku`Aloia,2024-07-17 01:45:00,20.3,94,1016.0,Partly cloudy,1.0000080000000002
Tonga,Nuku`Aloia,2024-07-18 01:45:00,20.4,100,1016.0,Mist,1.0000080000000002
Tonga,Nuku`Aloia,2024-07-19 01:45:00,23.6,88,1017.0,Patchy rain nearby,6.500052
Tonga,Nuku`Aloia,2024-07-20 01:30:00,23.4,94,1016.0,Light rain,3.6111400000000002
Tonga,Nuku`Aloia,2024-07-21 01:45:00,24.2,85,1019.0,Clear,4.111144
Tonga,Nuku`Aloia,2024-07-24 01:30:00,23.4,77,1018.0,Clear,2.194462
Tonga,Nuku`Aloia,2024-07-25 01:45:00,23.1,78,1017.0,Patchy rain nearby,7.888952000000001
Tonga,Nuku`Aloia,2024-07-26 01:30:00,24.3,79,1012.0,Patchy rain nearby,10.388972
Tonga,Nuku`Aloia,2024-07-27 01:30:00,22.6,76,1009.0,Patchy rain nearby,8.111176
Tonga,Nuku`Aloia,2024-07-28 01:30:00,20.9,64,1012.0,Patchy rain nearby,13.889000000000001
Tonga,Nuku`Aloia,2024-07-29 01:45:00,21.4,57,1015.0,Patchy rain nearby,9.888968000000002
Tonga,Nuku`Aloia,2024-07-30 01:15:00,21.8,57,1021.0,Partly Cloudy,10.611196000000001
Tonga,Nuku`Aloia,2024-07-31 01:30:00,22.5,63,1022.0,Partly Cloudy,10.00008
