Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Trinidad and Tobago,Port Of Spain,2025-02-01 06:30:00,24.0,83,1013.0,Partly cloudy,3.6944740000000005
Trinidad and Tobago,Port Of Spain,2025-02-02 06:15:00,23.1,83,1012.0,Partly cloudy,3.111136
Trinidad and Tobago,Port Of Spain,2025-02-03 06:30:00,24.3,83,1011.0,Partly cloudy,3.6111400000000002
Trinidad and Tobago,Port Of Spain,2025-02-04 06:30:00,24.0,83,1011.0,Partly cloudy,3.6944740000000005
Trinidad and Tobago,Port Of Spain,2025-02-05 06:30:00,23.2,83,1012.0,Partly cloudy,3.3055820000000002
Trinidad and Tobago,Port Of Spain,2025-02-06 06:15:00,22.2,88,1012.0,Overcast,2.6111320000000005
Trinidad and Tobago,Port Of Spain,2025-02-07 06:30:00,24.2,83,1012.0,Partly cloudy,3.5000280000000004
Trinidad and Tobago,Port Of Spain,2025-02-08 06:30:00,25.3,79,1012.0,Partly cloudy,2.6111320000000005
Trinidad and Tobago,Port Of Spain,2025-02-09 06:30:00,23.1,89,1012.0,Patchy rain possible,3.3055820000000002
Trinidad and Tobago,Port Of Spain,2025-02-10 06:30:00,23.4,89,1013.0,Partly cloudy,3.0000240000000007
Trinidad and Tobago,Port Of Spain,2025-02-11 06:15:00,24.4,74,1012.0,Partly cloudy,4.3055900000000005
Trinidad and Tobago,Port Of Spain,2025-02-12 06:15:00,23.1,83,1012.0,Partly cloudy,3.6111400000000002
Trinidad and Tobago,Port Of Spain,2025-02-13 06:30:00,24.1,83,1014.0,Light rain shower,3.5000280000000004
Trinidad and Tobago,Port Of Spain,2025-02-14 06:00:00,24.1,74,1014.0,Partly cloudy,3.5000280000000004
Trinidad and Tobago,Port Of Spain,2025-02-15 06:15:00,21.1,88,1012.0,Partly cloudy,3.111136
Trinidad and Tobago,Port Of Spain,2025-02-16 06:15:00,24.2,78,1012.0,Partly cloudy,3.388916
Trinidad and Tobago,Port Of Spain,2025-02-17 06:15:00,24.1,94,1013.0,Overcast,3.8889200000000006
Trinidad and Tobago,Port Of Spain,2025-02-18 06:15:00,24.1,78,1013.0,Overcast,3.3055820000000002
Trinidad and Tobago,Port Of Spain,2025-02-19 06:15:00,24.0,74,1013.0,Partly cloudy,3.388916
Trinidad and Tobago,Port Of Spain,2025-02-20 06:00:00,24.1,83,1013.0,Partly cloudy,3.3055820000000002
Trinidad and Tobago,Port Of Spain,2025-02-21 06:00:00,24.2,83,1013.0,Partly cloudy,3.1944700000000004
Trinidad and Tobago,Port Of Spain,2025-02-22 06:15:00,23.4,89,1015.0,Partly cloudy,2.805578
Trinidad and Tobago,Port Of Spain,2025-02-23 06:00:00,23.2,89,1014.0,Partly cloudy,2.805578
Trinidad and Tobago,Port Of Spain,2025-02-24 06:00:00,24.3,89,1012.0,Partly cloudy,3.388916
Trinidad and Tobago,Port Of Spain,2025-02-25 06:00:00,24.1,89,1012.0,Partly cloudy,3.388916
Trinidad and Tobago,Port Of Spain,2025-02-26 06:00:00,24.1,83,1013.0,Partly cloudy,2.8889120000000004
Trinidad and Tobago,Port Of Spain,2025-02-27 06:00:00,25.1,83,1013.0,Partly cloudy,2.805578
Trinidad and Tobago,Port Of Spain,2025-02-28 06:00:00,24.2,89,1012.0,Partly cloudy,2.6111320000000005
