Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Tunisia,Tunis,2024-05-16 09:45:00,24.0,57,1008.0,Partly cloudy,5.305598000000001
Tunisia,Tunis,2024-05-16 15:15:00,27.0,37,1008.0,Partly cloudy,5.611156
Tunisia,Tunis,2024-05-17 17:00:00,27.0,37,1010.0,Partly cloudy,3.111136
Tunisia,Tunis,2024-05-18 15:30:00,32.0,41,1009.0,Partly cloudy,1.8889040000000001
Tunisia,Tunis,2024-05-19 15:15:00,29.0,45,1008.0,Partly cloudy,3.111136
Tunisia,Tunis,2024-05-20 15:45:00,26.0,61,1005.0,Partly cloudy,6.694498000000001
Tunisia,Tunis,2024-05-21 15:45:00,28.0,40,1015.0,Partly cloudy,5.611156
Tunisia,Tunis,2024-05-22 15:15:00,26.0,58,1016.0,Partly cloudy,9.694522000000001
Tunisia,Tunis,2024-05-23 15:00:00,29.0,31,1016.0,Partly cloudy,4.194478
Tunisia,Tunis,2024-05-24 15:30:00,30.0,21,1015.0,Partly cloudy,5.305598000000001
Tunisia,Tunis,2024-05-25 15:15:00,28.0,40,1014.0,Partly cloudy,5.305598000000001
Tunisia,Tunis,2024-05-26 15:15:00,27.0,39,1018.0,Partly cloudy,4.694482
Tunisia,Tunis,2024-05-27 15:30:00,30.0,35,1016.0,Partly cloudy,5.305598000000001
Tunisia,Tunis,2024-05-28 15:45:00,30.0,43,1013.0,Partly cloudy,7.194502
Tunisia,Tunis,2024-05-29 15:15:00,27.0,45,1014.0,Partly cloudy,8.305622
Tunisia,Tunis,2024-05-30 14:45:00,29.3,29,1012.0,Sunny,5.611156
Tunisia,Tunis,2024-05-31 15:15:00,27.0,48,1011.0,Sunny,6.111160000000001
