Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Turkey,Yaren,2025-05-01 11:45:00,11.0,94,1011.0,Light rain,4.611148000000001
Turkey,Ankara,2025-05-01 12:00:00,16.4,72,1011.0,Partly cloudy,6.500052
Turkey,Yaren,2025-05-02 12:00:00,13.2,77,1016.0,Partly cloudy,6.805610000000001
Turkey,Ankara,2025-05-02 12:00:00,16.0,63,1013.0,Partly cloudy,1.5000120000000003
Turkey,Yaren,2025-05-03 12:00:00,16.3,68,1019.0,Partly cloudy,5.194486
Turkey,Ankara,2025-05-03 12:00:00,14.4,63,1017.0,Partly cloudy,3.5000280000000004
Turkey,Yaren,2025-05-04 11:45:00,17.1,55,1014.0,Sunny,1.0000080000000002
Turkey,Ankara,2025-05-04 11:45:00,16.2,51,1014.0,Partly cloudy,1.8889040000000001
Turkey,Yaren,2025-05-05 12:00:00,22.1,35,1010.0,Sunny,3.388916
Turkey,Ankara,2025-05-05 12:00:00,16.3,36,1014.0,Sunny,3.3055820000000002
Turkey,Yaren,2025-05-06 12:00:00,24.4,44,1013.0,Partly cloudy,4.694482
Turkey,Ankara,2025-05-06 12:00:00,21.1,49,1017.0,Partly cloudy,4.805594000000001
Turkey,Yaren,2025-05-07 11:45:00,25.2,44,1013.0,Sunny,6.6111640000000005
Turkey,Ankara,2025-05-07 11:45:00,22.3,53,1018.0,Partly cloudy,6.111160000000001
Turkey,Yaren,2025-05-08 11:45:00,24.3,47,1010.0,Sunny,2.50002
Turkey,Ankara,2025-05-08 11:45:00,21.4,53,1016.0,Sunny,8.500068
Turkey,Yaren,2025-05-09 12:15:00,26.4,45,1013.0,Partly cloudy,2.111128
Turkey,Ankara,2025-05-09 12:15:00,24.3,41,1017.0,Partly cloudy,5.194486
Turkey,Yaren,2025-05-10 12:00:00,19.3,68,1014.0,Partly cloudy,6.000048000000001
Turkey,Ankara,2025-05-10 12:00:00,24.3,50,1015.0,Partly cloudy,7.111168000000001
Turkey,Yaren,2025-05-11 11:45:00,15.1,72,1015.0,Partly cloudy,4.388924
Turkey,Ankara,2025-05-11 11:45:00,18.0,56,1012.0,Partly cloudy,4.611148000000001
Turkey,Yaren,2025-05-12 12:00:00,20.1,53,1010.0,Sunny,4.3055900000000005
Turkey,Ankara,2025-05-12 12:15:00,16.2,72,1009.0,Partly cloudy,2.3889080000000003
Turkey,Yaren,2025-05-13 12:15:00,20.4,43,1011.0,Partly Cloudy,8.805626
Turkey,Ankara,2025-05-13 12:15:00,18.4,28,1009.0,Partly cloudy,3.6944740000000005
Turkey,Yaren,2025-05-14 12:15:00,18.2,39,1015.0,Sunny,6.694498000000001
Turkey,Ankara,2025-05-14 12:15:00,14.0,59,1013.0,Partly cloudy,1.8055700000000001
Turkey,Yaren,2025-05-15 12:00:00,21.1,31,1015.0,Sunny,1.0000080000000002
Turkey,Ankara,2025-05-15 12:00:00,14.4,44,1017.0,Partly cloudy,3.0000240000000007
Turkey,Yaren,2025-05-16 12:00:00,16.1,63,1011.0,Partly cloudy,1.8889040000000001
Turkey,Ankara,2025-05-16 12:00:00,20.2,43,1016.0,Partly cloudy,6.388940000000001
Turkey,Yaren,2025-05-17 11:45:00,23.1,61,1008.0,Partly cloudy,6.888944000000001
Turkey,Ankara,2025-05-17 11:45:00,23.3,31,1012.0,Sunny,8.111176
Turkey,Yaren,2025-05-18 11:45:00,19.0,78,1016.0,Partly cloudy,3.8055860000000004
Turkey,Ankara,2025-05-18 11:45:00,20.1,46,1016.0,Partly cloudy,7.000056000000001
Turkey,Yaren,2025-05-19 12:00:00,20.2,56,1019.0,Sunny,1.5000120000000003
Turkey,Ankara,2025-05-19 12:00:00,17.2,42,1021.0,Sunny,2.3055740000000005
Turkey,Yaren,2025-05-20 12:00:00,21.3,43,1018.0,Sunny,3.5000280000000004
Turkey,Ankara,2025-05-20 12:00:00,20.3,37,1017.0,Sunny,5.194486
Turkey,Yaren,2025-05-21 11:45:00,23.1,41,1018.0,Sunny,3.388916
Turkey,Ankara,2025-05-21 11:45:00,18.1,28,1021.0,Sunny,2.50002
Turkey,Yaren,2025-05-22 11:45:00,25.1,41,1014.0,Sunny,3.1944700000000004
Turkey,Ankara,2025-05-22 11:45:00,24.1,29,1019.0,Sunny,2.50002
Turkey,Yaren,2025-05-23 12:00:00,27.3,37,1011.0,Sunny,2.50002
Turkey,Ankara,2025-05-23 12:00:00,26.0,30,1014.0,Sunny,2.3889080000000003
Turkey,Yaren,2025-05-24 11:45:00,27.3,39,1011.0,Sunny,2.194462
Turkey,Ankara,2025-05-24 11:45:00,25.4,44,1015.0,Sunny,2.8889120000000004
Turkey,Yaren,2025-05-25 11:30:00,31.1,29,1006.0,Sunny,7.000056000000001
Turkey,Ankara,2025-05-25 11:30:00,29.2,31,1015.0,Sunny,3.8055860000000004
Turkey,Yaren,2025-05-26 12:00:00,20.1,83,1007.0,Partly cloudy,6.500052
Turkey,Ankara,2025-05-26 12:00:00,27.4,37,1010.0,Partly cloudy,6.888944000000001
Turkey,Yaren,2025-05-27 12:00:00,20.3,60,1013.0,Partly Cloudy,3.111136
Turkey,Ankara,2025-05-27 12:00:00,16.4,72,1011.0,Partly cloudy,6.694498000000001
Turkey,Yaren,2025-05-28 11:45:00,22.2,50,1012.0,Partly cloudy,2.6944660000000002
Turkey,Ankara,2025-05-28 11:45:00,19.0,43,1013.0,Partly cloudy,2.805578
Turkey,Yaren,2025-05-29 11:45:00,23.2,61,1010.0,Partly cloudy,4.111144
Turkey,Ankara,2025-05-29 11:45:00,21.0,40,1010.0,Partly cloudy,1.694458
Turkey,Yaren,2025-05-30 12:00:00,24.0,39,1010.0,Sunny,7.305614000000001
Turkey,Ankara,2025-05-30 12:00:00,20.3,46,1011.0,Partly cloudy,1.611124
Turkey,Yaren,2025-05-31 11:45:00,22.2,57,1015.0,Partly cloudy,7.6945060000000005
Turkey,Ankara,2025-05-31 11:45:00,19.3,56,1015.0,Partly cloudy,1.8889040000000001
