Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Turkmenistan,Ashgabat,2024-10-01 15:00:00,26.2,20,1009.0,Partly cloudy,1.8889040000000001
Turkmenistan,Ashgabat,2024-10-02 14:30:00,32.0,17,1007.0,Partly cloudy,1.8055700000000001
Turkmenistan,Ashgabat,2024-10-03 14:30:00,31.2,22,1010.0,Sunny,7.000056000000001
Turkmenistan,Ashgabat,2024-10-04 14:45:00,26.1,39,1015.0,Partly cloudy,3.111136
Turkmenistan,Ashgabat,2024-10-05 14:45:00,24.1,44,1017.0,Partly cloudy,1.5000120000000003
Turkmenistan,Ashgabat,2024-10-06 14:15:00,25.2,36,1020.0,Partly cloudy,2.3055740000000005
Turkmenistan,Ashgabat,2024-10-07 14:45:00,27.4,30,1021.0,Sunny,5.500044000000001
Turkmenistan,Ashgabat,2024-10-08 14:45:00,28.3,28,1016.0,Sunny,4.3055900000000005
Turkmenistan,Ashgabat,2024-10-09 14:45:00,30.1,24,1013.0,Partly cloudy,2.194462
Turkmenistan,Ashgabat,2024-10-10 14:45:00,28.1,35,1010.0,Sunny,2.6944660000000002
Turkmenistan,Ashgabat,2024-10-11 14:45:00,25.2,41,1013.0,Sunny,2.6111320000000005
Turkmenistan,Ashgabat,2024-10-12 14:45:00,25.0,36,1014.0,Partly cloudy,3.388916
Turkmenistan,Ashgabat,2024-10-13 14:30:00,23.3,36,1016.0,Partly cloudy,2.805578
Turkmenistan,Ashgabat,2024-10-14 14:30:00,20.1,40,1017.0,Partly cloudy,2.111128
Turkmenistan,Ashgabat,2024-10-15 14:30:00,17.6,47,1021.0,Patchy rain nearby,1.8055700000000001
Turkmenistan,Ashgabat,2024-10-16 14:30:00,18.4,52,1021.0,Partly cloudy,5.694490000000001
Turkmenistan,Ashgabat,2024-10-17 14:30:00,21.3,35,1017.0,Partly cloudy,5.888936
Turkmenistan,Ashgabat,2024-10-18 14:45:00,29.4,29,1009.0,Partly cloudy,4.194478
Turkmenistan,Ashgabat,2024-10-19 14:30:00,27.2,37,1011.0,Partly cloudy,4.611148000000001
Turkmenistan,Ashgabat,2024-10-20 14:30:00,22.2,35,1013.0,Partly cloudy,5.500044000000001
Turkmenistan,Ashgabat,2024-10-21 14:15:00,18.8,50,1016.0,Partly Cloudy,3.1944700000000004
Turkmenistan,Ashgabat,2024-10-22 14:15:00,12.2,100,1022.0,Overcast,2.50002
Turkmenistan,Ashgabat,2024-10-23 14:30:00,14.8,56,1025.0,Cloudy,2.6111320000000005
Turkmenistan,Ashgabat,2024-10-24 14:15:00,17.2,63,1023.0,Partly cloudy,3.3055820000000002
Turkmenistan,Ashgabat,2024-10-25 14:15:00,11.2,100,1018.0,Light rain shower,6.694498000000001
Turkmenistan,Ashgabat,2024-10-26 14:15:00,18.1,60,1018.0,Partly cloudy,5.111152
Turkmenistan,Ashgabat,2024-10-27 14:15:00,15.5,54,1025.0,Cloudy,6.305606
Turkmenistan,Ashgabat,2024-10-28 14:15:00,15.0,51,1026.0,Partly cloudy,3.3055820000000002
Turkmenistan,Ashgabat,2024-10-29 14:00:00,15.1,55,1023.0,Sunny,2.6111320000000005
Turkmenistan,Ashgabat,2024-10-30 14:00:00,17.1,55,1023.0,Sunny,3.8889200000000006
Turkmenistan,Ashgabat,2024-10-31 14:00:00,17.1,52,1023.0,Sunny,1.694458
