Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Tuvalu,Funafuti,2024-08-01 00:15:00,27.6,80,1012.0,Light rain shower,9.805634
Tuvalu,Funafuti,2024-08-02 00:15:00,28.4,74,1012.0,Light rain shower,6.888944000000001
Tuvalu,Funafuti,2024-08-03 00:30:00,28.3,77,1012.0,Light rain shower,8.194510000000001
Tuvalu,Funafuti,2024-08-04 00:30:00,28.9,68,1012.0,Patchy rain nearby,5.00004
Tuvalu,Funafuti,2024-08-05 00:30:00,28.1,77,1012.0,Patchy rain nearby,4.3055900000000005
Tuvalu,Funafuti,2024-08-06 00:30:00,28.0,76,1011.0,Patchy rain nearby,6.000048000000001
Tuvalu,Funafuti,2024-08-07 00:15:00,27.9,77,1012.0,Light rain shower,6.694498000000001
Tuvalu,Funafuti,2024-08-08 00:15:00,28.3,78,1011.0,Light rain shower,9.694522000000001
Tuvalu,Funafuti,2024-08-09 00:15:00,27.6,80,1011.0,Light rain shower,10.00008
Tuvalu,Funafuti,2024-08-10 00:30:00,28.0,80,1010.0,Light rain shower,9.000072000000001
Tuvalu,Funafuti,2024-08-11 00:30:00,28.0,77,1010.0,Light rain shower,9.194518
Tuvalu,Funafuti,2024-08-12 00:30:00,27.9,80,1010.0,Light rain shower,10.805642
Tuvalu,Funafuti,2024-08-13 00:30:00,27.4,79,1012.0,Light rain shower,7.194502
Tuvalu,Funafuti,2024-08-14 00:45:00,27.8,79,1012.0,Light rain shower,8.305622
Tuvalu,Funafuti,2024-08-15 00:30:00,28.2,89,1010.0,Overcast,6.694498000000001
Tuvalu,Funafuti,2024-08-16 00:15:00,27.0,89,1011.0,Light rain,4.694482
Tuvalu,Funafuti,2024-08-17 00:15:00,28.1,84,1010.0,Moderate rain at times,7.805618000000001
Tuvalu,Funafuti,2024-08-18 00:15:00,29.3,84,1011.0,Partly cloudy,6.111160000000001
Tuvalu,Funafuti,2024-08-19 00:00:00,29.3,79,1011.0,Partly cloudy,5.611156
Tuvalu,Funafuti,2024-08-20 00:30:00,29.2,84,1011.0,Partly cloudy,6.694498000000001
Tuvalu,Funafuti,2024-08-21 00:15:00,28.4,89,1012.0,Partly cloudy,7.194502
Tuvalu,Funafuti,2024-08-22 00:15:00,28.2,84,1012.0,Partly cloudy,6.111160000000001
Tuvalu,Funafuti,2024-08-23 00:00:00,29.2,79,1013.0,Partly cloudy,4.694482
Tuvalu,Funafuti,2024-08-24 00:15:00,27.7,79,1010.0,Partly cloudy,7.194502
Tuvalu,Funafuti,2024-08-25 00:00:00,28.4,84,1010.0,Partly cloudy,5.305598000000001
Tuvalu,Funafuti,2024-08-26 00:00:00,28.1,89,1009.0,Partly cloudy,5.305598000000001
Tuvalu,Funafuti,2024-08-27 00:15:00,28.3,84,1011.0,Partly cloudy,1.0000080000000002
Tuvalu,Funafuti,2024-08-28 00:30:00,28.1,84,1012.0,Partly cloudy,1.0000080000000002
Tuvalu,Funafuti,2024-08-29 00:30:00,29.0,79,1011.0,Partly cloudy,2.50002
Tuvalu,Funafuti,2024-08-30 00:00:00,29.4,84,1010.0,Partly cloudy,2.50002
Tuvalu,Funafuti,2024-08-31 00:15:00,29.4,79,1010.0,Partly cloudy,4.194478
