Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Uganda,Kampala,2024-10-01 13:00:00,29.0,55,1016.0,Partly cloudy,2.0000160000000005
Uganda,Kampala,2024-10-02 12:30:00,27.3,66,1016.0,Partly cloudy,2.0000160000000005
Uganda,Kampala,2024-10-03 12:30:00,24.3,74,1018.0,Partly cloudy,4.500036000000001
Uganda,Kampala,2024-10-04 12:45:00,27.5,43,1013.0,Partly Cloudy,3.8889200000000006
Uganda,Kampala,2024-10-05 12:30:00,26.6,45,1013.0,Partly Cloudy,2.805578
Uganda,Kampala,2024-10-06 12:15:00,28.7,41,1012.0,Partly Cloudy,2.6111320000000005
Uganda,Kampala,2024-10-07 12:45:00,18.1,93,1013.0,Partly Cloudy,1.11112
Uganda,Kampala,2024-10-08 12:45:00,28.0,47,1014.0,Patchy rain nearby,1.11112
Uganda,Kampala,2024-10-09 12:45:00,25.2,69,1021.0,Partly cloudy,1.8055700000000001
Uganda,Kampala,2024-10-10 12:45:00,26.7,47,1014.0,Partly Cloudy,2.3889080000000003
Uganda,Kampala,2024-10-11 12:45:00,27.0,66,1019.0,Partly cloudy,3.6944740000000005
Uganda,Kampala,2024-10-12 12:45:00,25.8,55,1014.0,Patchy rain nearby,3.6111400000000002
Uganda,Kampala,2024-10-13 12:30:00,27.2,62,1019.0,Partly cloudy,4.500036000000001
Uganda,Kampala,2024-10-14 12:30:00,27.1,58,1019.0,Partly cloudy,1.11112
Uganda,Kampala,2024-10-15 12:30:00,23.6,67,1014.0,Sunny,1.3055660000000002
Uganda,Kampala,2024-10-16 12:30:00,29.6,40,1013.0,Partly Cloudy,1.1944540000000001
Uganda,Kampala,2024-10-17 12:30:00,24.5,65,1014.0,Patchy light drizzle,2.50002
Uganda,Kampala,2024-10-18 12:45:00,29.3,42,1011.0,Partly Cloudy,1.694458
Uganda,Kampala,2024-10-19 12:30:00,29.0,45,1011.0,Patchy rain nearby,1.11112
Uganda,Kampala,2024-10-20 12:30:00,28.8,46,1012.0,Partly Cloudy,1.3889
Uganda,Kampala,2024-10-21 12:15:00,24.4,74,1020.0,Partly cloudy,1.0000080000000002
Uganda,Kampala,2024-10-22 12:15:00,26.2,74,1019.0,Partly cloudy,2.3055740000000005
Uganda,Kampala,2024-10-23 12:30:00,28.6,46,1012.0,Patchy rain nearby,1.0000080000000002
Uganda,Kampala,2024-10-24 12:15:00,29.7,43,1011.0,Partly Cloudy,1.611124
Uganda,Kampala,2024-10-25 12:15:00,29.6,43,1010.0,Partly Cloudy,1.3055660000000002
Uganda,Kampala,2024-10-26 12:15:00,30.2,41,1010.0,Partly Cloudy,1.11112
Uganda,Kampala,2024-10-27 12:15:00,29.4,42,1010.0,Partly Cloudy,1.694458
Uganda,Kampala,2024-10-28 12:15:00,25.5,64,1012.0,Patchy rain nearby,2.194462
Uganda,Kampala,2024-10-29 12:00:00,28.2,48,1011.0,Patchy rain nearby,1.1944540000000001
Uganda,Kampala,2024-10-30 12:00:00,30.2,41,1009.0,Partly Cloudy,1.3889
Uganda,Kampala,2024-10-31 12:00:00,26.3,53,1011.0,Partly Cloudy,1.694458
