Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Ukraine,Kyiv,2024-12-01 12:45:00,1.5,90,1036.0,Cloudy,2.3889080000000003
Ukraine,Kyiv,2024-12-02 12:45:00,2.2,66,1030.0,Sunny,3.111136
Ukraine,Kyiv,2024-12-03 13:00:00,1.9,69,1024.0,Sunny,3.1944700000000004
Ukraine,Kyiv,2024-12-04 12:30:00,0.9,70,1026.0,Overcast,1.5000120000000003
Ukraine,Kyiv,2024-12-05 12:15:00,-0.4,78,1031.0,Overcast,1.8889040000000001
Ukraine,Kyiv,2024-12-06 12:45:00,-0.4,72,1025.0,Partly Cloudy,4.000032000000001
Ukraine,Kyiv,2024-12-07 12:45:00,2.3,95,1021.0,Light drizzle,5.305598000000001
Ukraine,Kyiv,2024-12-08 12:30:00,1.9,81,1021.0,Overcast,5.111152
Ukraine,Kyiv,2024-12-09 13:00:00,2.3,90,1024.0,Overcast,4.611148000000001
Ukraine,Kyiv,2024-12-10 12:45:00,2.1,95,1020.0,Overcast,3.6944740000000005
Ukraine,Kyiv,2024-12-11 12:45:00,2.4,92,1017.0,Light drizzle,5.3889320000000005
Ukraine,Kyiv,2024-12-12 12:30:00,0.3,72,1021.0,Sunny,5.194486
Ukraine,Kyiv,2024-12-13 12:30:00,-2.8,56,1029.0,Sunny,6.6111640000000005
Ukraine,Kyiv,2024-12-14 12:30:00,-3.9,53,1026.0,Sunny,4.805594000000001
Ukraine,Kyiv,2024-12-15 12:30:00,-0.6,82,1008.0,Light freezing rain,5.694490000000001
Ukraine,Kyiv,2024-12-16 12:45:00,1.1,97,1006.0,Light sleet,9.194518
Ukraine,Kyiv,2024-12-17 12:45:00,6.0,90,1005.0,Light drizzle,8.88896
Ukraine,Kyiv,2024-12-18 12:15:00,3.2,74,1018.0,Cloudy,6.000048000000001
Ukraine,Kyiv,2024-12-19 12:30:00,4.9,76,1012.0,Partly Cloudy,5.305598000000001
Ukraine,Kyiv,2024-12-20 12:45:00,5.1,74,1005.0,Sunny,4.611148000000001
Ukraine,Kyiv,2024-12-21 12:30:00,2.9,76,1017.0,Partly Cloudy,3.1944700000000004
Ukraine,Kyiv,2024-12-22 12:15:00,0.9,74,1013.0,Sunny,1.8889040000000001
Ukraine,Kyiv,2024-12-23 12:45:00,0.9,82,1011.0,Partly Cloudy,2.0000160000000005
Ukraine,Kyiv,2024-12-24 12:45:00,3.1,91,1020.0,Cloudy,2.111128
Ukraine,Kyiv,2024-12-25 12:15:00,1.6,84,1033.0,Overcast,3.388916
Ukraine,Kyiv,2024-12-26 12:15:00,0.7,75,1038.0,Cloudy,2.194462
Ukraine,Kyiv,2024-12-27 12:45:00,1.1,96,1032.0,Mist,1.0000080000000002
Ukraine,Kyiv,2024-12-28 13:00:00,3.0,87,1030.0,Partly Cloudy,2.3055740000000005
Ukraine,Kyiv,2024-12-29 11:45:00,2.3,82,1029.0,Partly Cloudy,2.3889080000000003
Ukraine,Kyiv,2024-12-30 12:00:00,3.7,64,1023.0,Sunny,4.111144
Ukraine,Kyiv,2024-12-31 12:30:00,4.0,65,1022.0,Partly Cloudy,6.388940000000001
