Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
United Arab Emirates,Abu Dhabi,2024-05-16 12:45:00,39.0,19,1009.0,Sunny,3.111136
United Arab Emirates,Abu Dhabi,2024-05-16 18:15:00,36.0,33,1007.0,Sunny,3.6111400000000002
United Arab Emirates,Abu Dhabi,2024-05-17 20:15:00,33.0,44,1006.0,Clear,3.111136
United Arab Emirates,Abu Dhabi,2024-05-18 18:30:00,35.0,35,1004.0,Sunny,4.194478
United Arab Emirates,Abu Dhabi,2024-05-19 18:15:00,32.0,46,1003.0,Sunny,4.694482
United Arab Emirates,Abu Dhabi,2024-05-20 18:45:00,32.0,52,1004.0,Sunny,5.305598000000001
United Arab Emirates,Abu Dhabi,2024-05-21 18:45:00,32.0,59,1004.0,Sunny,3.6111400000000002
United Arab Emirates,Abu Dhabi,2024-05-22 18:15:00,36.0,25,1002.0,Sunny,2.50002
United Arab Emirates,Abu Dhabi,2024-05-23 18:00:00,36.0,35,1002.0,Sunny,5.305598000000001
United Arab Emirates,Abu Dhabi,2024-05-24 18:30:00,35.0,32,1001.0,Sunny,7.194502
United Arab Emirates,Abu Dhabi,2024-05-25 18:15:00,34.0,50,1001.0,Sunny,6.694498000000001
United Arab Emirates,Abu Dhabi,2024-05-26 18:15:00,35.0,50,1001.0,Sunny,3.6111400000000002
United Arab Emirates,Abu Dhabi,2024-05-27 18:30:00,37.0,37,1001.0,Sunny,3.6111400000000002
United Arab Emirates,Abu Dhabi,2024-05-28 18:45:00,36.0,45,1000.0,Sunny,4.194478
United Arab Emirates,Abu Dhabi,2024-05-29 18:15:00,37.0,45,999.0,Sunny,2.50002
United Arab Emirates,Abu Dhabi,2024-05-30 18:00:00,37.0,42,1000.0,Sunny,6.111160000000001
United Arab Emirates,Abu Dhabi,2024-05-31 18:15:00,39.0,18,1002.0,Sunny,5.611156
