Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
United States of America,Washington Harbor,2025-01-01 02:00:00,5.2,89,1015.0,Overcast,2.111128
United States of America,Washington Harbor,2025-01-02 02:15:00,5.6,86,1018.0,Overcast,1.0000080000000002
United States of America,Washington Harbor,2025-01-03 02:45:00,5.3,100,1013.0,Overcast,2.0000160000000005
United States of America,Washington Harbor,2025-01-04 02:15:00,6.7,100,1013.0,Overcast,1.1944540000000001
United States of America,Washington Harbor,2025-01-05 02:00:00,6.3,99,1017.0,Overcast,1.8889040000000001
United States of America,Washington Harbor,2025-01-06 02:30:00,7.2,99,1031.0,Overcast,1.611124
United States of America,Washington Harbor,2025-01-08 02:30:00,6.1,100,1031.0,Overcast,1.11112
United States of America,Washington Harbor,2025-01-09 02:45:00,6.1,93,1035.0,Overcast,1.0000080000000002
United States of America,Washington Harbor,2025-01-10 03:00:00,5.3,100,1021.0,Light rain,2.805578
United States of America,Washington Harbor,2025-01-11 02:45:00,6.7,65,1031.0,Clear,4.000032000000001
United States of America,Washington Harbor,2025-01-12 02:15:00,5.1,93,1033.0,Clear,1.0000080000000002
United States of America,Washington Harbor,2025-01-13 02:00:00,3.3,91,1037.0,Partly cloudy,2.3055740000000005
United States of America,Washington Harbor,2025-01-14 03:00:00,4.6,87,1035.0,Overcast,1.0000080000000002
United States of America,Washington Harbor,2025-01-15 02:15:00,5.5,89,1032.0,Overcast,1.0000080000000002
United States of America,Washington Harbor,2025-01-16 02:15:00,6.1,95,1022.0,Partly cloudy,2.3055740000000005
United States of America,Washington Harbor,2025-01-17 02:15:00,3.2,84,1027.0,Partly cloudy,1.0000080000000002
United States of America,Washington Harbor,2025-01-18 03:15:00,0.8,85,1035.0,Partly Cloudy,1.11112
United States of America,Washington Harbor,2025-01-19 01:15:00,2.7,90,1032.0,Partly cloudy,1.0000080000000002
United States of America,Washington Harbor,2025-01-20 02:15:00,2.3,89,1036.0,Clear,1.0000080000000002
United States of America,Washington Harbor,2025-01-21 02:30:00,1.9,87,1031.0,Clear,1.1944540000000001
United States of America,Washington Harbor,2025-01-22 02:15:00,-2.8,92,1040.0,Partly cloudy,1.0000080000000002
United States of America,Washington Harbor,2025-01-23 02:30:00,2.6,89,1038.0,Clear,1.0000080000000002
United States of America,Washington Harbor,2025-01-24 02:30:00,1.1,92,1031.0,Clear,2.111128
United States of America,Washington Harbor,2025-01-25 02:15:00,3.1,74,1032.0,Clear,1.5000120000000003
United States of America,Washington Harbor,2025-01-26 02:15:00,1.7,70,1031.0,Clear,1.11112
United States of America,Washington Harbor,2025-01-27 02:30:00,2.2,89,1031.0,Clear,1.0000080000000002
United States of America,Washington Harbor,2025-01-28 03:00:00,2.7,82,1026.0,Clear,1.0000080000000002
United States of America,Washington Harbor,2025-01-29 02:30:00,2.2,94,1021.0,Clear,1.1944540000000001
United States of America,Washington Harbor,2025-01-30 02:15:00,-0.6,96,1020.0,Overcast,1.0000080000000002
United States of America,Washington Harbor,2025-01-31 02:30:00,5.4,97,1007.0,Overcast,2.3055740000000005
