Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Uzbekistan,Tashkent,2025-04-01 14:30:00,24.3,21,1018.0,Sunny,2.6944660000000002
Uzbekistan,Tashkent,2025-04-02 14:00:00,23.1,22,1016.0,Sunny,1.694458
Uzbekistan,Tashkent,2025-04-03 14:00:00,25.2,19,1013.0,Sunny,2.194462
Uzbekistan,Tashkent,2025-04-04 14:15:00,29.2,16,1012.0,Sunny,4.111144
Uzbekistan,Tashkent,2025-04-05 14:00:00,23.2,50,1017.0,Sunny,2.50002
Uzbekistan,Tashkent,2025-04-06 14:00:00,22.3,50,1012.0,Partly cloudy,2.805578
Uzbekistan,Tashkent,2025-04-07 14:15:00,26.4,32,1019.0,Partly cloudy,4.194478
Uzbekistan,Tashkent,2025-04-08 14:15:00,27.1,26,1018.0,Sunny,3.5000280000000004
Uzbekistan,Tashkent,2025-04-09 14:15:00,22.3,61,1019.0,Partly cloudy,2.0000160000000005
Uzbekistan,Tashkent,2025-04-10 14:15:00,25.3,39,1014.0,Sunny,2.3055740000000005
Uzbekistan,Tashkent,2025-04-11 14:15:00,30.2,18,1006.0,Sunny,2.50002
Uzbekistan,Tashkent,2025-04-12 14:15:00,30.3,29,1008.0,Sunny,2.6111320000000005
Uzbekistan,Tashkent,2025-04-13 14:00:00,26.0,34,1011.0,Partly cloudy,1.8889040000000001
Uzbekistan,Tashkent,2025-04-14 14:30:00,27.1,39,1022.0,Partly cloudy,4.611148000000001
Uzbekistan,Tashkent,2025-04-15 14:15:00,28.1,30,1016.0,Sunny,2.8889120000000004
Uzbekistan,Tashkent,2025-04-16 14:00:00,21.1,40,1016.0,Sunny,1.5000120000000003
Uzbekistan,Tashkent,2025-04-17 13:45:00,23.1,38,1010.0,Sunny,3.8889200000000006
Uzbekistan,Tashkent,2025-04-18 14:15:00,21.2,38,1012.0,Sunny,5.00004
Uzbekistan,Tashkent,2025-04-19 14:00:00,14.0,63,1020.0,Overcast,2.0000160000000005
Uzbekistan,Tashkent,2025-04-20 13:45:00,21.0,28,1020.0,Sunny,2.6111320000000005
Uzbekistan,Tashkent,2025-04-21 14:15:00,22.3,31,1020.0,Sunny,1.694458
Uzbekistan,Tashkent,2025-04-22 14:30:00,24.2,24,1022.0,Sunny,1.8889040000000001
Uzbekistan,Tashkent,2025-04-23 14:00:00,23.2,23,1020.0,Sunny,2.6944660000000002
Uzbekistan,Tashkent,2025-04-24 14:00:00,26.1,23,1017.0,Sunny,1.0000080000000002
Uzbekistan,Tashkent,2025-04-25 14:00:00,29.2,12,1012.0,Sunny,2.0000160000000005
Uzbekistan,Tashkent,2025-04-26 14:00:00,30.1,19,1014.0,Sunny,2.0000160000000005
Uzbekistan,Tashkent,2025-04-27 13:45:00,34.0,13,1014.0,Sunny,3.3055820000000002
Uzbekistan,Tashkent,2025-04-28 14:30:00,36.1,17,1012.0,Sunny,2.0000160000000005
Uzbekistan,Tashkent,2025-04-29 13:45:00,32.1,23,1014.0,Sunny,4.111144
Uzbekistan,Tashkent,2025-04-30 13:45:00,24.2,34,1018.0,Sunny,1.8055700000000001
