Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Vietnam,Ban Lom,2025-06-01 15:45:00,34.4,53,999.0,Sunny,4.805594000000001
Vietnam,Hanoi,2025-06-01 15:45:00,39.3,43,997.0,Sunny,5.805602
Vietnam,Ban Lom,2025-06-02 16:00:00,34.2,56,999.0,Sunny,3.1944700000000004
Vietnam,Hanoi,2025-06-02 16:00:00,39.3,43,997.0,Sunny,1.5000120000000003
Vietnam,Ban Lom,2025-06-03 16:00:00,30.8,72,1002.0,Patchy rain nearby,1.8889040000000001
Vietnam,Hanoi,2025-06-03 16:00:00,32.4,67,1002.0,Overcast,3.3055820000000002
Vietnam,Ban Lom,2025-06-04 16:00:00,27.8,90,1006.0,Light rain shower,1.3889
Vietnam,Hanoi,2025-06-04 16:00:00,32.1,67,1005.0,Partly cloudy,1.3889
Vietnam,Ban Lom,2025-06-05 15:45:00,28.1,84,1007.0,Patchy rain nearby,1.0000080000000002
Vietnam,Hanoi,2025-06-05 15:45:00,32.1,71,1004.0,Partly cloudy,1.0000080000000002
Vietnam,Ban Lom,2025-06-06 15:45:00,32.4,68,1004.0,Patchy light rain in area with thunder,1.0000080000000002
Vietnam,Hanoi,2025-06-06 15:45:00,34.1,71,1002.0,Partly Cloudy,3.6944740000000005
Vietnam,Ban Lom,2025-06-07 15:45:00,34.4,57,1003.0,Patchy light rain in area with thunder,1.611124
Vietnam,Hanoi,2025-06-07 15:45:00,31.2,84,1002.0,Patchy light rain with thunder,3.5000280000000004
Vietnam,Ban Lom,2025-06-08 16:00:00,33.3,63,1002.0,Patchy light rain in area with thunder,1.0000080000000002
Vietnam,Hanoi,2025-06-08 15:45:00,26.0,94,1001.0,Thundery outbreaks in nearby,3.388916
Vietnam,Ban Lom,2025-06-09 15:45:00,29.4,76,1004.0,Patchy rain nearby,1.11112
Vietnam,Hanoi,2025-06-09 16:00:00,33.3,67,1001.0,Light rain shower,1.5000120000000003
Vietnam,Ban Lom,2025-06-10 16:00:00,23.3,98,1008.0,Light rain shower,1.11112
Vietnam,Hanoi,2025-06-10 16:00:00,29.2,79,1004.0,Patchy rain nearby,5.00004
Vietnam,Ban Lom,2025-06-11 16:00:00,30.5,66,1005.0,Patchy rain nearby,1.11112
Vietnam,Hanoi,2025-06-11 16:00:00,33.2,67,1002.0,Cloudy,4.388924
Vietnam,Ban Lom,2025-06-12 15:45:00,30.3,68,1004.0,Patchy rain nearby,1.611124
Vietnam,Hanoi,2025-06-12 15:45:00,33.4,63,1001.0,Partly cloudy,2.50002
Vietnam,Ban Lom,2025-06-13 16:00:00,30.8,70,1002.0,Patchy rain nearby,1.0000080000000002
Vietnam,Hanoi,2025-06-13 16:00:00,33.4,63,1000.0,Light rain shower,3.8889200000000006
Vietnam,Ban Lom,2025-06-14 16:00:00,33.9,60,1000.0,Patchy rain nearby,1.0000080000000002
Vietnam,Hanoi,2025-06-14 16:00:00,35.4,56,999.0,Partly cloudy,1.5000120000000003
Vietnam,Ban Lom,2025-06-15 15:45:00,32.9,64,1002.0,Patchy light rain in area with thunder,1.0000080000000002
Vietnam,Hanoi,2025-06-15 15:45:00,36.4,60,999.0,Thundery outbreaks in nearby,1.1944540000000001
Vietnam,Ban Lom,2025-06-16 16:00:00,28.9,82,1004.0,Light rain shower,1.0000080000000002
Vietnam,Hanoi,2025-06-16 16:00:00,28.1,89,1003.0,Partly Cloudy,2.0000160000000005
Vietnam,Ban Lom,2025-06-17 16:00:00,26.2,92,1005.0,Partly Cloudy,2.0000160000000005
Vietnam,Hanoi,2025-06-17 16:00:00,34.0,63,1002.0,Thundery outbreaks in nearby,2.6111320000000005
Vietnam,Ban Lom,2025-06-18 16:00:00,29.9,77,1003.0,Patchy rain nearby,2.3055740000000005
Vietnam,Hanoi,2025-06-18 16:00:00,35.1,56,1001.0,Thundery outbreaks in nearby,5.00004
Vietnam,Ban Lom,2025-06-19 16:00:00,30.3,74,1003.0,Patchy rain nearby,2.111128
Vietnam,Hanoi,2025-06-19 16:15:00,34.1,60,1001.0,Partly Cloudy,4.111144
Vietnam,Ban Lom,2025-06-20 16:00:00,29.9,79,1003.0,Patchy rain nearby,1.611124
Vietnam,Hanoi,2025-06-20 16:00:00,34.1,60,1001.0,Partly Cloudy,2.805578
Vietnam,Ban Lom,2025-06-21 15:45:00,25.3,97,1005.0,Light drizzle,1.0000080000000002
Vietnam,Hanoi,2025-06-21 15:45:00,27.2,89,1003.0,Partly cloudy,1.1944540000000001
Vietnam,Ban Lom,2025-06-22 15:45:00,29.8,81,1005.0,Patchy rain nearby,1.0000080000000002
Vietnam,Hanoi,2025-06-22 15:45:00,29.1,84,1003.0,Light rain shower,2.3889080000000003
Vietnam,Ban Lom,2025-06-23 16:00:00,30.7,77,1002.0,Patchy light rain in area with thunder,1.0000080000000002
Vietnam,Hanoi,2025-06-23 15:45:00,32.0,71,1002.0,Patchy rain nearby,1.0000080000000002
Vietnam,Ban Lom,2025-06-24 16:00:00,31.0,75,1003.0,Patchy light rain in area with thunder,1.0000080000000002
Vietnam,Hanoi,2025-06-24 16:00:00,26.3,100,1003.0,Patchy light rain with thunder,5.805602
Vietnam,Ban Lom,2025-06-25 16:00:00,29.1,87,1005.0,Light rain shower,1.8889040000000001
Vietnam,Hanoi,2025-06-25 16:00:00,34.2,60,1004.0,Partly Cloudy,4.000032000000001
Vietnam,Ban Lom,2025-06-26 16:00:00,29.8,80,1004.0,Light rain shower,1.3889
Vietnam,Hanoi,2025-06-26 16:00:00,34.3,60,1002.0,Partly cloudy,4.000032000000001
Vietnam,Ban Lom,2025-06-27 15:45:00,25.3,96,1005.0,Light rain shower,1.3055660000000002
Vietnam,Hanoi,2025-06-27 15:45:00,29.3,84,1003.0,Moderate or heavy rain with thunder,1.611124
Vietnam,Ban Lom,2025-06-28 15:45:00,29.5,83,1001.0,Patchy rain nearby,1.0000080000000002
Vietnam,Hanoi,2025-06-28 15:30:00,30.1,75,1001.0,Moderate or heavy rain shower,2.3889080000000003
Vietnam,Ban Lom,2025-06-29 15:45:00,28.4,88,1000.0,Light rain shower,1.0000080000000002
Vietnam,Hanoi,2025-06-29 15:15:00,31.3,79,1000.0,Partly cloudy,3.111136
Vietnam,Ban Lom,2025-06-30 15:45:00,28.4,86,1002.0,Light rain shower,1.0000080000000002
Vietnam,Hanoi,2025-06-30 15:45:00,28.7,77,1000.0,Patchy rain nearby,1.0000080000000002
