Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Yemen,Sanaa,2024-10-01 13:00:00,24.1,30,1011.0,Patchy rain nearby,3.0000240000000007
Yemen,Sanaa,2024-10-02 12:30:00,23.5,18,1014.0,Sunny,4.611148000000001
Yemen,Sanaa,2024-10-03 12:30:00,24.1,19,1014.0,Sunny,6.194494000000001
Yemen,Sanaa,2024-10-04 12:45:00,24.2,18,1015.0,Sunny,6.6111640000000005
Yemen,Sanaa,2024-10-05 12:45:00,23.4,24,1014.0,Sunny,4.000032000000001
Yemen,Sanaa,2024-10-06 12:15:00,23.5,20,1015.0,Sunny,5.805602
Yemen,Sanaa,2024-10-07 12:45:00,23.7,18,1015.0,Sunny,5.694490000000001
Yemen,Sanaa,2024-10-08 12:45:00,23.6,18,1016.0,Sunny,4.805594000000001
Yemen,Sanaa,2024-10-09 12:45:00,23.2,14,1016.0,Sunny,5.00004
Yemen,Sanaa,2024-10-10 12:45:00,21.4,14,1015.0,Sunny,1.3889
Yemen,Sanaa,2024-10-11 12:45:00,21.6,21,1015.0,Sunny,2.0000160000000005
Yemen,Sanaa,2024-10-12 12:45:00,22.2,17,1015.0,Sunny,4.000032000000001
Yemen,Sanaa,2024-10-13 12:30:00,23.3,14,1015.0,Sunny,6.500052
Yemen,Sanaa,2024-10-14 12:30:00,23.8,20,1014.0,Sunny,5.694490000000001
Yemen,Sanaa,2024-10-15 12:30:00,23.8,18,1014.0,Sunny,4.694482
Yemen,Sanaa,2024-10-16 12:30:00,19.1,27,1019.0,Sunny,3.8055860000000004
Yemen,Sanaa,2024-10-17 12:30:00,22.3,14,1016.0,Sunny,4.500036000000001
Yemen,Sanaa,2024-10-18 12:45:00,21.5,20,1014.0,Sunny,1.0000080000000002
Yemen,Sanaa,2024-10-19 12:30:00,22.5,17,1015.0,Sunny,1.0000080000000002
Yemen,Sanaa,2024-10-20 12:30:00,21.8,44,1015.0,Patchy rain nearby,3.0000240000000007
Yemen,Sanaa,2024-10-21 12:15:00,24.1,33,1014.0,Sunny,6.111160000000001
Yemen,Sanaa,2024-10-22 12:15:00,22.6,30,1015.0,Sunny,3.6944740000000005
Yemen,Sanaa,2024-10-23 12:30:00,22.9,26,1015.0,Sunny,2.50002
Yemen,Sanaa,2024-10-24 12:15:00,22.7,27,1014.0,Sunny,1.0000080000000002
Yemen,Sanaa,2024-10-25 12:15:00,22.3,42,1013.0,Patchy rain nearby,2.6944660000000002
Yemen,Sanaa,2024-10-26 12:15:00,21.1,48,1015.0,Patchy rain nearby,4.388924
Yemen,Sanaa,2024-10-27 12:15:00,21.0,28,1016.0,Sunny,2.3889080000000003
Yemen,Sanaa,2024-10-28 12:15:00,19.6,41,1016.0,Sunny,2.50002
Yemen,Sanaa,2024-10-29 12:00:00,20.1,30,1015.0,Sunny,1.0000080000000002
Yemen,Sanaa,2024-10-30 12:00:00,21.1,31,1013.0,Sunny,1.5000120000000003
Yemen,Sanaa,2024-10-31 12:00:00,21.7,32,1013.0,Sunny,1.8889040000000001
