Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Zambia,Lusaka,2025-03-01 11:45:00,18.8,92,1014.0,Partly Cloudy,2.8889120000000004
Zambia,Lusaka,2025-03-02 12:00:00,23.8,77,1012.0,Light rain shower,1.3889
Zambia,Lusaka,2025-03-03 11:45:00,24.3,69,1014.0,Patchy rain nearby,4.000032000000001
Zambia,Lusaka,2025-03-04 11:45:00,23.7,71,1014.0,Patchy rain nearby,2.805578
Zambia,Lusaka,2025-03-05 12:00:00,23.4,71,1014.0,Patchy rain nearby,4.111144
Zambia,Lusaka,2025-03-06 11:45:00,23.1,76,1016.0,Patchy rain nearby,4.000032000000001
Zambia,Lusaka,2025-03-07 11:45:00,23.7,72,1016.0,Patchy rain nearby,4.194478
Zambia,Lusaka,2025-03-08 11:45:00,24.2,66,1014.0,Patchy rain nearby,4.694482
Zambia,Lusaka,2025-03-09 11:45:00,22.4,74,1014.0,Patchy rain nearby,3.111136
Zambia,Lusaka,2025-03-10 11:45:00,24.1,72,1013.0,Patchy rain nearby,1.8055700000000001
Zambia,Lusaka,2025-03-11 11:45:00,24.9,65,1012.0,Patchy rain nearby,1.611124
Zambia,Lusaka,2025-03-12 11:45:00,22.2,82,1011.0,Light rain shower,2.111128
Zambia,Lusaka,2025-03-13 11:45:00,22.6,77,1012.0,Patchy rain nearby,1.3889
Zambia,Lusaka,2025-03-14 11:45:00,23.1,73,1013.0,Patchy rain nearby,2.0000160000000005
Zambia,Lusaka,2025-03-15 11:45:00,22.5,70,1015.0,Patchy rain nearby,4.3055900000000005
Zambia,Lusaka,2025-03-16 12:00:00,22.9,70,1016.0,Patchy light drizzle,4.3055900000000005
Zambia,Lusaka,2025-03-17 11:45:00,21.1,77,1018.0,Patchy rain nearby,4.194478
Zambia,Lusaka,2025-03-18 11:45:00,22.5,67,1017.0,Patchy rain nearby,4.611148000000001
Zambia,Lusaka,2025-03-19 11:45:00,22.3,64,1017.0,Patchy rain nearby,4.500036000000001
Zambia,Lusaka,2025-03-20 11:45:00,23.2,61,1018.0,Patchy rain nearby,3.8889200000000006
Zambia,Lusaka,2025-03-21 11:30:00,24.4,58,1018.0,Sunny,3.0000240000000007
Zambia,Lusaka,2025-03-22 11:30:00,25.1,57,1016.0,Sunny,2.3889080000000003
Zambia,Lusaka,2025-03-23 11:45:00,25.1,59,1014.0,Patchy rain nearby,3.6111400000000002
Zambia,Lusaka,2025-03-24 11:45:00,25.3,56,1017.0,Sunny,3.111136
Zambia,Lusaka,2025-03-25 11:30:00,24.8,61,1016.0,Patchy rain nearby,3.6111400000000002
Zambia,Lusaka,2025-03-26 11:30:00,24.9,59,1013.0,Patchy rain nearby,2.6111320000000005
Zambia,Lusaka,2025-03-27 11:30:00,24.5,54,1013.0,Patchy rain nearby,4.111144
Zambia,Lusaka,2025-03-28 11:30:00,23.9,54,1015.0,Sunny,4.388924
Zambia,Lusaka,2025-03-29 11:30:00,24.6,53,1015.0,Sunny,4.611148000000001
Zambia,Lusaka,2025-03-30 11:30:00,25.1,58,1014.0,Patchy rain nearby,4.388924
Zambia,Lusaka,2025-03-31 11:15:00,22.1,70,1016.0,Partly Cloudy,4.388924
