Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Zimbabwe,Harare,2025-01-01 12:45:00,24.2,65,1011.0,Patchy rain nearby,3.8889200000000006
Zimbabwe,Harare,2025-01-02 11:45:00,25.2,55,1012.0,Patchy rain nearby,4.388924
Zimbabwe,Harare,2025-01-03 12:45:00,22.6,75,1014.0,Patchy rain nearby,3.388916
Zimbabwe,Harare,2025-01-04 11:45:00,23.2,69,1013.0,Patchy rain nearby,3.8889200000000006
Zimbabwe,Harare,2025-01-05 11:45:00,21.7,79,1012.0,Patchy rain nearby,5.111152
Zimbabwe,Harare,2025-01-06 12:30:00,24.9,59,1011.0,Patchy rain nearby,4.611148000000001
Zimbabwe,Harare,2025-01-07 12:30:00,21.9,68,1013.0,Patchy rain nearby,4.000032000000001
Zimbabwe,Harare,2025-01-08 12:30:00,20.9,74,1012.0,Patchy rain nearby,2.6111320000000005
Zimbabwe,Harare,2025-01-09 12:45:00,22.9,73,1009.0,Patchy light rain,2.194462
Zimbabwe,Harare,2025-01-10 13:00:00,19.6,87,1012.0,Light rain shower,4.000032000000001
Zimbabwe,Harare,2025-01-11 12:15:00,24.2,65,1015.0,Patchy light rain,5.00004
Zimbabwe,Harare,2025-01-12 12:30:00,27.4,48,1012.0,Cloudy,3.6944740000000005
Zimbabwe,Harare,2025-01-13 12:45:00,28.4,41,1009.0,Patchy rain nearby,2.3055740000000005
Zimbabwe,Harare,2025-01-14 12:45:00,24.9,59,1008.0,Patchy light drizzle,3.8055860000000004
Zimbabwe,Harare,2025-01-15 12:30:00,25.6,60,1008.0,Patchy rain nearby,4.888928000000001
Zimbabwe,Harare,2025-01-16 11:15:00,23.2,76,1012.0,Light rain shower,3.6111400000000002
Zimbabwe,Harare,2025-01-17 12:30:00,20.8,78,1014.0,Patchy light drizzle,2.111128
Zimbabwe,Harare,2025-01-18 12:30:00,24.4,64,1012.0,Patchy rain nearby,2.8889120000000004
Zimbabwe,Harare,2025-01-19 11:15:00,23.0,71,1013.0,Patchy rain nearby,1.5000120000000003
Zimbabwe,Harare,2025-01-20 12:30:00,21.3,78,1012.0,Light rain shower,1.3889
Zimbabwe,Harare,2025-01-21 12:30:00,19.3,91,1013.0,Light rain shower,2.111128
Zimbabwe,Harare,2025-01-22 12:15:00,22.7,62,1013.0,Patchy rain nearby,3.6944740000000005
Zimbabwe,Harare,2025-01-23 12:30:00,20.2,79,1011.0,Light rain shower,3.6944740000000005
Zimbabwe,Harare,2025-01-24 12:30:00,24.9,54,1009.0,Patchy rain nearby,3.8055860000000004
Zimbabwe,Harare,2025-01-25 12:30:00,25.6,50,1009.0,Patchy rain nearby,3.8055860000000004
Zimbabwe,Harare,2025-01-26 12:15:00,20.6,70,1011.0,Patchy rain nearby,3.8055860000000004
Zimbabwe,Harare,2025-01-27 12:30:00,22.7,64,1010.0,Patchy rain nearby,3.0000240000000007
Zimbabwe,Harare,2025-01-28 13:00:00,21.8,67,1010.0,Patchy rain nearby,3.6111400000000002
Zimbabwe,Harare,2025-01-29 12:30:00,24.5,52,1011.0,Patchy rain nearby,2.50002
Zimbabwe,Harare,2025-01-30 12:15:00,26.3,46,1011.0,Partly Cloudy,1.0000080000000002
Zimbabwe,Harare,2025-01-31 12:30:00,25.8,52,1011.0,Patchy rain nearby,2.0000160000000005
