Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Algeria,Algiers,2024,5,26.11764705882353,45.705882352941174,6.282730000000001,1013.3529411764706,88.82352941176471
Algeria,Algiers,2024,6,27.89,46.733333333333334,6.587089733333333,1013.8,82.66666666666667
Algeria,Algiers,2024,7,30.29642857142857,53.82142857142857,4.679600928571429,1013.8928571428571,78.21428571428571
Algeria,Algiers,2024,8,31.483870967741936,51.74193548387097,4.883551612903227,1013.1612903225806,76.12903225806451
Algeria,Algiers,2024,9,28.43,50.63333333333333,4.1694778,1015.0333333333333,86.0
Algeria,Algiers,2024,10,23.76774193548387,62.12903225806452,2.8960805161290324,1017.1290322580645,87.74193548387096
Algeria,Algiers,2024,11,19.44333333333333,66.3,2.6379840666666667,1021.3666666666667,77.0
Algeria,Algiers,2024,12,14.748387096774193,61.58064516129032,2.8700946451612905,1026.5483870967741,73.38709677419355
Algeria,Algiers,2025,1,15.019354838709678,63.03225806451613,3.6729684516129035,1022.8064516129032,75.80645161290323
Algeria,Algiers,2025,2,15.424999999999999,65.78571428571429,2.200414428571429,1023.0,77.85714285714286
Algeria,Algiers,2025,3,17.616129032258065,60.96774193548387,4.186413419354839,1014.3870967741935,75.3225806451613
Algeria,Algiers,2025,4,19.7,59.13333333333333,3.2620631333333336,1015.5333333333333,80.16666666666667
Algeria,Algiers,2025,5,22.274193548387096,60.29032258064516,3.321711161290323,1016.4193548387096,84.83870967741936
Algeria,Algiers,2025,6,28.503333333333334,55.1,2.9065047333333336,1017.5333333333333,86.33333333333333
Algeria,Algiers,2025,7,29.22,63.0,2.6611324,1017.2,80.0
