Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Angola,Luanda,2024,5,29.08823529411765,69.76470588235294,5.4428540000000005,1009.4705882352941,76.76470588235294
Angola,Luanda,2024,6,26.55,68.33333333333333,5.345413133333334,1011.0333333333333,90.66666666666667
Angola,Luanda,2024,7,24.475862068965515,67.0,4.3965868965517245,1013.8965517241379,96.55172413793103
Angola,Luanda,2024,8,24.458064516129035,67.83870967741936,4.079781741935484,1013.5806451612904,94.35483870967742
Angola,Luanda,2024,9,25.956666666666667,68.03333333333333,3.4648425333333335,1013.4666666666667,97.33333333333333
Angola,Luanda,2024,10,26.251612903225805,73.58064516129032,2.596794967741936,1013.6451612903226,96.45161290322581
Angola,Luanda,2024,11,27.296666666666667,76.1,2.1120539333333337,1012.3333333333334,87.83333333333333
Angola,Luanda,2024,12,27.758064516129032,76.96774193548387,2.6469745806451614,1011.6451612903226,78.70967741935483
Angola,Luanda,2025,1,29.38064516129032,67.19354838709677,2.2598747096774194,1011.2903225806451,81.45161290322581
Angola,Luanda,2025,2,29.264285714285712,69.75,2.3353361428571433,1010.6428571428571,78.75
Angola,Luanda,2025,3,29.548387096774192,69.41935483870968,1.688185548387097,1011.1612903225806,79.51612903225806
Angola,Luanda,2025,4,28.626666666666665,73.93333333333334,2.200943533333333,1011.2333333333333,81.16666666666667
Angola,Luanda,2025,5,27.861290322580647,76.7741935483871,2.106647677419355,1012.9677419354839,88.38709677419355
Angola,Luanda,2025,6,25.203333333333333,75.26666666666667,1.6990876666666668,1015.0666666666667,99.0
Angola,Luanda,2025,7,23.86,74.6,1.7389028,1016.2,97.0
