Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Antigua and Barbuda,Saint John's,2024,5,29.41176470588235,72.82352941176471,4.511474,1015.8235294117648,75.58823529411765
Antigua and Barbuda,Saint John's,2024,6,29.92758620689655,72.34482758620689,4.54697124137931,1015.6551724137931,75.6896551724138
Antigua and Barbuda,Saint John's,2024,7,28.675,76.85714285714286,6.0159211428571435,1016.4285714285714,66.60714285714286
Antigua and Barbuda,Saint John's,2024,8,28.774193548387096,76.41935483870968,5.56545670967742,1015.0967741935484,67.90322580645162
Antigua and Barbuda,Saint John's,2024,9,27.709999999999997,81.46666666666667,4.3629978666666664,1012.3666666666667,75.83333333333333
Antigua and Barbuda,Saint John's,2024,10,27.72258064516129,77.0,5.482122709677419,1011.8064516129032,70.64516129032258
Antigua and Barbuda,Saint John's,2024,11,26.389655172413793,83.82758620689656,5.356364689655173,1010.8965517241379,78.79310344827586
Antigua and Barbuda,Saint John's,2024,12,25.606451612903225,76.7741935483871,7.228552451612904,1013.8709677419355,78.87096774193549
Antigua and Barbuda,Saint John's,2025,1,24.436666666666667,80.8,7.730617400000001,1015.6,80.16666666666667
Antigua and Barbuda,Saint John's,2025,2,24.67142857142857,75.85714285714286,9.269915428571428,1015.8571428571429,82.14285714285714
Antigua and Barbuda,Saint John's,2025,3,24.506451612903227,78.74193548387096,7.098623096774194,1014.4193548387096,84.19354838709677
Antigua and Barbuda,Saint John's,2025,4,24.946666666666665,79.46666666666667,7.9463598666666675,1014.1333333333333,80.16666666666667
Antigua and Barbuda,Saint John's,2025,5,26.129032258064516,82.19354838709677,7.8405645161290325,1014.6774193548387,78.54838709677419
Antigua and Barbuda,Saint John's,2025,6,26.8,76.76666666666667,8.71581046666667,1016.9333333333333,82.5
Antigua and Barbuda,Saint John's,2025,7,26.3,79.0,8.3389556,1016.6,79.0
