Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Armenia,Yerevan,2024,5,22.823529411764707,33.8235294117647,2.94937,1013.5294117647059,82.94117647058823
Armenia,Yerevan,2024,6,31.30666666666667,20.7,3.4833612,1010.2666666666667,79.0
Armenia,Yerevan,2024,7,31.858620689655172,29.17241379310345,3.0143919310344827,1005.5172413793103,74.82758620689656
Armenia,Yerevan,2024,8,34.13225806451613,22.193548387096776,2.270627483870968,1007.1935483870968,76.7741935483871
Armenia,Yerevan,2024,9,27.65666666666667,28.966666666666665,2.3129814666666673,1013.9,88.33333333333333
Armenia,Yerevan,2024,10,18.35483870967742,36.903225806451616,2.328871677419355,1018.258064516129,84.35483870967742
Armenia,Yerevan,2024,11,10.886666666666667,49.53333333333333,1.791681,1020.9666666666667,79.66666666666667
Armenia,Yerevan,2024,12,4.696774193548387,55.74193548387097,1.3727708387096775,1023.1612903225806,75.80645161290323
Armenia,Yerevan,2025,1,3.3548387096774195,53.67741935483871,1.0842380645161291,1026.3225806451612,79.51612903225806
Armenia,Yerevan,2025,2,3.5392857142857146,48.17857142857143,1.5744173571428572,1019.1428571428571,77.85714285714286
Armenia,Yerevan,2025,3,14.51290322580645,32.38709677419355,1.5591522580645163,1019.0322580645161,80.3225806451613
Armenia,Yerevan,2025,4,17.06,42.8,2.7611332000000006,1014.9666666666667,75.33333333333333
Armenia,Yerevan,2025,5,23.58709677419355,34.83870967741935,2.5681209032258066,1014.0967741935484,89.35483870967742
Armenia,Yerevan,2025,6,27.43,23.866666666666667,2.301870266666667,1012.7,85.33333333333333
Armenia,Yerevan,2025,7,26.4,32.6,2.1000168,1009.0,96.0
