Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Australia,Canberra,2024,5,3.8666666666666667,92.0,1.7907550666666667,1025.8,67.33333333333333
Australia,Canberra,2024,6,3.732258064516129,91.74193548387096,2.317222838709678,1019.0967741935484,63.225806451612904
Australia,Canberra,2024,7,4.403448275862069,89.82758620689656,2.905195655172414,1022.1379310344828,64.65517241379311
Australia,Canberra,2024,8,7.738709677419355,86.09677419354838,3.0170492258064514,1020.8387096774194,63.38709677419355
Australia,Canberra,2024,9,10.606666666666666,64.03333333333333,3.1907662666666665,1020.8333333333334,76.33333333333333
Australia,Canberra,2024,10,11.23225806451613,70.87096774193549,3.1765487096774194,1018.7096774193549,74.35483870967742
Australia,Canberra,2024,11,17.373333333333335,65.1,3.471324066666667,1015.6333333333333,75.66666666666667
Australia,Canberra,2024,12,17.074193548387097,67.70967741935483,2.8127465161290326,1012.1935483870968,78.2258064516129
Australia,Canberra,2025,1,18.970967741935485,73.70967741935483,3.433719225806452,1014.6451612903226,75.48387096774194
Australia,Canberra,2025,2,20.724999999999998,67.39285714285714,2.8799833571428572,1015.75,80.53571428571429
Australia,Canberra,2025,3,19.861290322580647,69.03225806451613,3.7007464516129036,1019.6774193548387,80.96774193548387
Australia,Canberra,2025,4,16.113333333333333,63.233333333333334,2.4861310000000003,1019.1666666666666,75.83333333333333
Australia,Canberra,2025,5,11.029032258064515,73.7741935483871,2.384427677419355,1023.5483870967741,70.0
Australia,Canberra,2025,6,5.676666666666667,79.5,2.1703877333333335,1019.4,71.33333333333333
Australia,Canberra,2025,7,8.2,81.2,3.4722500000000003,1015.0,70.0
