Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Bahamas,Nassau,2024,5,28.764705882352942,73.6470588235294,3.841534,1015.7647058823529,83.52941176470588
Bahamas,Nassau,2024,6,28.548275862068966,78.48275862068965,4.642757448275862,1016.1379310344828,73.96551724137932
Bahamas,Nassau,2024,7,29.0,77.17857142857143,4.093286714285715,1018.25,72.32142857142857
Bahamas,Nassau,2024,8,28.42258064516129,78.90322580645162,4.590538516129033,1016.6129032258065,67.58064516129032
Bahamas,Nassau,2024,9,27.62,85.16666666666667,3.6815109333333336,1013.3666666666667,74.83333333333333
Bahamas,Nassau,2024,10,26.803333333333335,77.53333333333333,7.478763533333334,1014.3666666666667,84.33333333333333
Bahamas,Nassau,2024,11,24.555172413793105,76.20689655172414,6.902354068965518,1014.7586206896551,83.44827586206897
Bahamas,Nassau,2024,12,22.64516129032258,79.09677419354838,7.432855161290323,1018.9677419354839,76.7741935483871
Bahamas,Nassau,2025,1,20.19,79.7,5.733379200000001,1019.7333333333333,70.66666666666667
Bahamas,Nassau,2025,2,20.900000000000002,87.21428571428571,5.988143142857143,1019.0357142857143,68.92857142857143
Bahamas,Nassau,2025,3,20.08709677419355,82.2258064516129,6.56546470967742,1016.741935483871,70.64516129032258
Bahamas,Nassau,2025,4,23.026666666666664,74.03333333333333,6.779683866666668,1018.3666666666667,84.83333333333333
Bahamas,Nassau,2025,5,25.266666666666666,81.96666666666667,6.212086733333334,1016.5666666666667,83.83333333333333
Bahamas,Nassau,2025,6,27.003333333333334,80.26666666666667,6.343569266666667,1018.7,81.33333333333333
Bahamas,Nassau,2025,7,26.5,86.0,5.7556016,1017.4,76.0
