Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Bahrain,Manama,2024,5,34.411764705882355,39.1764705882353,6.227174,1003.7647058823529,72.94117647058823
Bahrain,Manama,2024,6,36.983333333333334,44.36666666666667,5.171337666666667,998.8,75.66666666666667
Bahrain,Manama,2024,7,37.88965517241379,44.6551724137931,6.753885448275863,994.9310344827586,70.6896551724138
Bahrain,Manama,2024,8,36.94193548387097,56.225806451612904,5.771551548387097,998.0322580645161,74.19354838709677
Bahrain,Manama,2024,9,37.18,45.13333333333333,4.826890466666667,1003.1666666666666,75.66666666666667
Bahrain,Manama,2024,10,31.067741935483873,54.67741935483871,4.63982206451613,1011.0645161290323,79.03225806451613
Bahrain,Manama,2024,11,27.14,59.1,5.548192533333334,1015.7333333333333,85.66666666666667
Bahrain,Manama,2024,12,21.283870967741933,56.32258064516129,5.1685001290322585,1018.258064516129,85.16129032258064
Bahrain,Manama,2025,1,20.125806451612902,52.225806451612904,5.603091419354839,1019.2903225806451,74.83870967741936
Bahrain,Manama,2025,2,19.853571428571428,55.714285714285715,6.223264071428572,1017.0357142857143,72.5
Bahrain,Manama,2025,3,24.06451612903226,47.74193548387097,5.59233864516129,1015.6129032258065,88.2258064516129
Bahrain,Manama,2025,4,31.94,32.1,4.974113866666667,1010.2333333333333,77.66666666666667
Bahrain,Manama,2025,5,36.099999999999994,29.258064516129032,5.786784645161291,1005.2903225806451,74.19354838709677
Bahrain,Manama,2025,6,37.75,31.233333333333334,6.325050600000001,1000.8333333333334,74.0
Bahrain,Manama,2025,7,37.22,38.8,9.1556288,998.0,70.0
