Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Belgium,'S Gravenjansdijk,2024,5,16.0,82.0,7.805618000000001,1014.0,35.0
Belgium,'S Gravenjansdijk,2024,6,20.041176470588233,64.29411764705883,4.666704,1012.7647058823529,71.17647058823529
Belgium,'S Gravenjansdijk,2024,7,21.25,63.07142857142857,4.461345214285715,1014.3571428571429,75.35714285714286
Belgium,'S Gravenjansdijk,2024,8,23.567741935483873,56.38709677419355,4.6747685806451615,1014.2903225806451,81.93548387096774
Belgium,'S Gravenjansdijk,2024,9,18.736666666666668,70.53333333333333,5.643563666666667,1013.8333333333334,67.83333333333333
Belgium,'S Gravenjansdijk,2024,10,13.503225806451614,84.38709677419355,4.707922967741935,1015.516129032258,62.25806451612903
Belgium,'S Gravenjansdijk,2024,11,8.266666666666667,87.66666666666667,4.740778666666667,1019.8666666666667,63.0
Belgium,'S Gravenjansdijk,2024,12,6.622580645161291,84.83870967741936,5.92657070967742,1021.6129032258065,60.0
Belgium,'S Gravenjansdijk,2025,1,4.145161290322581,90.54838709677419,4.517957290322581,1014.4516129032259,62.58064516129032
Belgium,'S Gravenjansdijk,2025,2,5.0249999999999995,83.46428571428571,4.714323428571428,1022.9285714285714,62.67857142857143
Belgium,'S Gravenjansdijk,2025,3,8.848387096774195,71.38709677419355,4.522437612903226,1017.4193548387096,71.29032258064517
Belgium,'S Gravenjansdijk,2025,4,12.639999999999999,68.66666666666667,4.6000368,1018.0666666666667,71.0
Belgium,'S Gravenjansdijk,2025,5,15.216129032258063,64.6774193548387,5.890728129032259,1017.3870967741935,67.58064516129032
Belgium,'S Gravenjansdijk,2025,6,19.88,66.06666666666666,5.940788266666667,1017.0333333333333,75.83333333333333
Belgium,'S Gravenjansdijk,2025,7,24.619999999999997,47.2,4.8389276,1020.0,80.0
