Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Belize,Belmopan,2024,5,30.352941176470587,80.6470588235294,3.068652,1011.0,75.88235294117646
Belize,Belmopan,2024,6,27.683333333333334,91.56666666666666,1.9398303333333333,1009.4333333333333,71.33333333333333
Belize,Belmopan,2024,7,25.768965517241377,95.13793103448276,1.5344950344827588,1013.448275862069,76.03448275862068
Belize,Belmopan,2024,8,23.79032258064516,97.70967741935483,1.0134489677419356,1013.5483870967741,83.06451612903226
Belize,Belmopan,2024,9,24.32,96.26666666666667,1.0666752000000002,1009.1666666666666,81.0
Belize,Belmopan,2024,10,22.426666666666666,96.53333333333333,1.2768620666666668,1011.8333333333334,75.5
Belize,Belmopan,2024,11,20.97241379310345,96.27586206896552,1.1216564827586208,1011.7586206896551,67.06896551724138
Belize,Belmopan,2024,12,19.748387096774195,97.64516129032258,1.048395483870968,1016.4516129032259,63.064516129032256
Belize,Belmopan,2025,1,19.55666666666667,98.33333333333333,1.1166756000000002,1016.4,65.0
Belize,Belmopan,2025,2,20.525000000000002,98.25,1.0287780714285717,1014.6785714285714,65.0
Belize,Belmopan,2025,3,20.70967741935484,95.87096774193549,1.0707970967741938,1012.8709677419355,67.90322580645162
Belize,Belmopan,2025,4,21.233333333333334,93.7,1.4703821333333336,1013.2,67.5
Belize,Belmopan,2025,5,23.65666666666667,94.63333333333334,1.4296410666666666,1011.1666666666666,81.16666666666667
Belize,Belmopan,2025,6,23.33,97.56666666666666,1.1398239333333335,1012.0666666666667,79.66666666666667
Belize,Belmopan,2025,7,22.86,98.2,1.0611196,1013.6,85.0
