Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Bolivia,National,2024,5,25.888235294117646,55.0,1.7614520000000002,1016.7647058823529,87.3529411764706
Bolivia,National,2024,6,28.475862068965515,51.51724137931034,1.4233830344827587,1014.551724137931,87.06896551724138
Bolivia,National,2024,7,21.28620689655172,56.96551724137931,1.4827704827586208,1017.3793103448276,85.86206896551724
Bolivia,National,2024,8,23.62258064516129,51.41935483870968,1.3745629677419358,1014.9354838709677,93.06451612903226
Bolivia,National,2024,9,25.46333333333333,47.63333333333333,1.3833444000000001,1010.5333333333333,92.33333333333333
Bolivia,National,2024,10,23.283333333333335,78.43333333333334,1.140749866666667,1008.7666666666667,84.5
Bolivia,National,2024,11,22.268965517241377,93.89655172413794,1.0967520689655175,1008.1379310344828,75.86206896551724
Bolivia,National,2024,12,22.651612903225807,90.54838709677419,1.0949908387096776,1009.6774193548387,77.74193548387096
Bolivia,National,2025,1,22.013333333333332,94.9,1.0518602666666668,1010.2333333333333,69.5
Bolivia,National,2025,2,22.09642857142857,97.39285714285714,1.1150882857142859,1009.9285714285714,69.28571428571429
Bolivia,National,2025,3,21.94193548387097,98.09677419354838,1.0394348387096775,1010.483870967742,66.29032258064517
Bolivia,National,2025,4,21.823333333333334,97.26666666666667,1.1583426000000003,1010.6,71.0
Bolivia,National,2025,5,21.641935483870967,90.58064516129032,1.1433783225806453,1012.258064516129,73.06451612903226
Bolivia,National,2025,6,20.416666666666668,87.83333333333333,1.1805650000000003,1013.3666666666667,70.5
Bolivia,National,2025,7,13.559999999999999,77.6,1.7000136000000001,1019.4,77.0
