Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Botswana,Gaborone,2024,5,25.98235294117647,26.058823529411764,2.2549200000000003,1022.7647058823529,96.47058823529412
Botswana,Gaborone,2024,6,22.153333333333332,28.2,3.5546580666666667,1022.7666666666667,88.66666666666667
Botswana,Gaborone,2024,7,24.582758620689653,11.655172413793103,2.7356540689655175,1017.8965517241379,95.17241379310344
Botswana,Gaborone,2024,8,26.967741935483872,15.612903225806452,3.466873612903226,1017.6451612903226,87.09677419354838
Botswana,Gaborone,2024,9,27.813333333333333,24.8,4.336145800000001,1017.6666666666666,82.66666666666667
Botswana,Gaborone,2024,10,27.406451612903226,26.64516129032258,4.456128838709677,1019.6774193548387,81.93548387096774
Botswana,Gaborone,2024,11,29.013333333333332,36.46666666666667,4.5083694,1017.3,82.0
Botswana,Gaborone,2024,12,31.809677419354838,36.29032258064516,3.9785264516129035,1013.3548387096774,75.16129032258064
Botswana,Gaborone,2025,1,29.393548387096775,45.25806451612903,3.125473032258065,1013.6774193548387,82.74193548387096
Botswana,Gaborone,2025,2,27.900000000000002,57.535714285714285,3.7222520000000006,1013.0,75.17857142857143
Botswana,Gaborone,2025,3,26.16774193548387,57.41935483870968,3.5591682580645165,1019.2258064516129,92.41935483870968
Botswana,Gaborone,2025,4,21.96333333333333,66.5,3.4565091333333338,1020.4,83.16666666666667
Botswana,Gaborone,2025,5,17.725806451612904,57.70967741935484,2.99106335483871,1026.4193548387098,79.83870967741936
Botswana,Gaborone,2025,6,14.226666666666667,56.96666666666667,3.1926181333333337,1026.1666666666667,78.5
Botswana,Gaborone,2025,7,15.180000000000001,54.0,3.1778032000000005,1026.0,80.0
