Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Bulgaria,Sofia,2024,5,18.75,61.8125,4.81601075,1015.9375,74.6875
Bulgaria,Sofia,2024,6,28.923333333333336,41.13333333333333,4.350960733333333,1014.3333333333334,78.83333333333333
Bulgaria,Sofia,2024,7,31.57857142857143,28.642857142857142,3.3055820000000002,1013.2142857142857,81.78571428571429
Bulgaria,Sofia,2024,8,30.93548387096774,30.29032258064516,3.327087548387097,1013.2258064516129,75.16129032258064
Bulgaria,Sofia,2024,9,22.38,49.266666666666666,2.717614333333334,1015.1333333333333,77.0
Bulgaria,Sofia,2024,10,17.080645161290324,45.774193548387096,1.8898000645161293,1021.1612903225806,80.64516129032258
Bulgaria,Sofia,2024,11,6.3933333333333335,65.56666666666666,1.8203849333333335,1023.3,73.16666666666667
Bulgaria,Sofia,2024,12,4.474193548387096,76.06451612903226,2.026897935483871,1021.0967741935484,74.03225806451613
Bulgaria,Sofia,2025,1,3.448387096774194,76.19354838709677,1.412197677419355,1022.7741935483871,75.64516129032258
Bulgaria,Sofia,2025,2,2.2214285714285715,65.85714285714286,1.599219142857143,1026.357142857143,77.32142857142857
Bulgaria,Sofia,2025,3,11.345161290322581,55.25806451612903,2.137113870967742,1017.6129032258065,72.41935483870968
Bulgaria,Sofia,2025,4,12.41,61.93333333333333,2.765762866666667,1017.0,71.33333333333333
Bulgaria,Sofia,2025,5,16.661290322580644,56.61290322580645,2.7509180645161293,1014.7741935483871,74.03225806451613
Bulgaria,Sofia,2025,6,24.576666666666664,47.46666666666667,2.0481645333333334,1019.8333333333334,92.0
Bulgaria,Sofia,2025,7,28.0,33.6,2.1222392,1019.6,88.0
