Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Burkina Faso,Ouagadougou,2024,5,37.57058823529412,39.1764705882353,3.165058,1009.1176470588235,76.17647058823529
Burkina Faso,Ouagadougou,2024,6,35.61333333333334,42.86666666666667,3.749104066666667,1010.8,78.66666666666667
Burkina Faso,Ouagadougou,2024,7,31.139285714285712,61.57142857142857,4.552615785714286,1012.5714285714286,70.53571428571429
Burkina Faso,Ouagadougou,2024,8,29.103225806451615,67.12903225806451,5.172980451612904,1011.9032258064516,65.80645161290323
Burkina Faso,Ouagadougou,2024,9,29.23,68.5,3.6611404000000003,1013.3333333333334,77.16666666666667
Burkina Faso,Ouagadougou,2024,10,29.44193548387097,63.12903225806452,3.3261914838709683,1013.9032258064516,79.35483870967742
Burkina Faso,Ouagadougou,2024,11,27.416666666666668,30.366666666666667,5.025040200000001,1014.4,88.66666666666667
Burkina Faso,Ouagadougou,2024,12,28.38064516129032,16.70967741935484,5.912233677419356,1015.516129032258,78.06451612903226
Burkina Faso,Ouagadougou,2025,1,28.17096774193548,17.06451612903226,6.289476838709678,1015.0,78.70967741935483
Burkina Faso,Ouagadougou,2025,2,29.482142857142858,17.25,6.093302714285715,1013.1428571428571,76.78571428571429
Burkina Faso,Ouagadougou,2025,3,33.400000000000006,36.903225806451616,4.109351870967742,1011.258064516129,77.41935483870968
Burkina Faso,Ouagadougou,2025,4,32.52,45.63333333333333,4.0166988,1010.8,77.33333333333333
Burkina Faso,Ouagadougou,2025,5,30.593548387096774,58.61290322580645,5.216887612903227,1012.6774193548387,74.6774193548387
Burkina Faso,Ouagadougou,2025,6,28.6,69.2,4.883372400000001,1014.0666666666667,79.0
Burkina Faso,Ouagadougou,2025,7,26.619999999999997,82.0,4.9389284,1014.8,82.0
