Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Burundi,Bujumbura,2024,5,26.735294117647058,60.294117647058826,8.647128,1012.8823529411765,68.52941176470588
Burundi,Bujumbura,2024,6,27.46333333333333,50.96666666666667,32.478963533333335,1013.4333333333333,76.66666666666667
Burundi,Bujumbura,2024,7,27.57586206896552,43.3448275862069,4.708849931034484,1012.9310344827586,83.10344827586206
Burundi,Bujumbura,2024,8,28.041935483870965,43.225806451612904,4.58426606451613,1012.2258064516129,86.7741935483871
Burundi,Bujumbura,2024,9,30.103333333333335,44.2,3.896327466666667,1012.5,80.0
Burundi,Bujumbura,2024,10,27.816129032258065,57.74193548387097,1.8996567741935484,1013.741935483871,76.12903225806451
Burundi,Bujumbura,2024,11,25.81,68.53333333333333,1.6342723333333333,1014.1333333333333,80.0
Burundi,Bujumbura,2024,12,26.11935483870968,67.12903225806451,1.301981741935484,1013.1290322580645,81.29032258064517
Burundi,Bujumbura,2025,1,26.716129032258067,62.41935483870968,1.2410493548387098,1013.516129032258,83.87096774193549
Burundi,Bujumbura,2025,2,28.032142857142855,59.82142857142857,1.2133033571428573,1012.6428571428571,80.0
Burundi,Bujumbura,2025,3,26.190322580645162,65.03225806451613,1.385315741935484,1014.3548387096774,82.09677419354838
Burundi,Bujumbura,2025,4,26.003333333333334,68.3,1.140749866666667,1015.2,81.5
Burundi,Bujumbura,2025,5,24.26451612903226,69.12903225806451,1.1639878064516131,1016.9032258064516,74.51612903225806
Burundi,Bujumbura,2025,6,25.19,60.7,1.3740850666666669,1017.4666666666667,76.66666666666667
Burundi,Bujumbura,2025,7,25.880000000000003,53.4,1.2222320000000002,1018.2,92.0
