Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Cambodia,Phnom Penh,2024,5,30.58823529411765,77.88235294117646,1.8153740000000003,1006.5882352941177,75.88235294117646
Cambodia,Phnom Penh,2024,6,29.455172413793104,78.89655172413794,2.240439379310345,1007.2068965517242,73.96551724137932
Cambodia,Phnom Penh,2024,7,27.693103448275863,85.44827586206897,3.307497724137931,1006.4137931034483,75.17241379310344
Cambodia,Phnom Penh,2024,8,29.812903225806455,77.16129032258064,2.979414516129032,1006.3870967741935,66.61290322580645
Cambodia,Phnom Penh,2024,9,29.523333333333333,85.36666666666666,3.3926197333333334,1004.4,72.0
Cambodia,Phnom Penh,2024,10,30.787096774193547,72.70967741935483,2.79661735483871,1006.0,74.03225806451613
Cambodia,Phnom Penh,2024,11,31.82,62.233333333333334,3.6639182000000003,1007.0333333333333,74.83333333333333
Cambodia,Phnom Penh,2024,12,29.080645161290324,65.19354838709677,3.822611225806452,1008.2258064516129,80.16129032258064
Cambodia,Phnom Penh,2025,1,30.486666666666668,49.36666666666667,3.4953983333333336,1008.8666666666667,79.66666666666667
Cambodia,Phnom Penh,2025,2,33.17857142857143,46.25,3.094270785714286,1008.0357142857143,77.67857142857143
Cambodia,Phnom Penh,2025,3,34.78387096774193,47.87096774193548,3.6649038709677426,1006.4193548387096,78.06451612903226
Cambodia,Phnom Penh,2025,4,34.486666666666665,57.13333333333333,3.2842855333333336,1005.9666666666667,75.0
Cambodia,Phnom Penh,2025,5,33.11612903225806,69.16129032258064,3.651462903225807,1004.1612903225806,73.38709677419355
Cambodia,Phnom Penh,2025,6,32.20666666666667,73.3,5.228745533333334,1004.3666666666667,68.66666666666667
Cambodia,Phnom Penh,2025,7,32.239999999999995,76.2,4.455591200000001,1004.6,70.0
