Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Central African Republic,Bangui,2024,5,32.62352941176471,56.411764705882355,2.460804,1009.7647058823529,74.70588235294117
Central African Republic,Bangui,2024,6,32.2,55.63333333333333,1.885200266666667,1009.7333333333333,76.66666666666667
Central African Republic,Bangui,2024,7,31.50714285714286,56.57142857142857,1.6924738571428575,1010.7142857142857,70.71428571428571
Central African Republic,Bangui,2024,8,30.729032258064517,56.41935483870968,1.7222360000000003,1010.6129032258065,75.96774193548387
Central African Republic,Bangui,2024,9,29.623333333333335,66.96666666666667,1.9102004666666668,1012.6333333333333,75.5
Central African Republic,Bangui,2024,10,27.006451612903227,77.2258064516129,1.3378243225806452,1013.258064516129,77.41935483870968
Central African Republic,Bangui,2024,11,28.81,56.96666666666667,1.6564947333333333,1012.0,82.66666666666667
Central African Republic,Bangui,2024,12,35.08709677419355,19.516129032258064,2.7213479354838714,1010.0,80.0
Central African Republic,Bangui,2025,1,33.067741935483866,34.45161290322581,2.6738565161290326,1011.483870967742,80.64516129032258
Central African Republic,Bangui,2025,2,31.785714285714285,51.857142857142854,2.109143857142857,1011.5,80.0
Central African Republic,Bangui,2025,3,30.970967741935485,60.87096774193548,2.3064700645161293,1012.1290322580645,80.80645161290323
Central African Republic,Bangui,2025,4,28.683333333333334,70.4,2.0444608000000004,1012.2666666666667,85.16666666666667
Central African Republic,Bangui,2025,5,27.76451612903226,74.7741935483871,2.057364129032258,1014.6129032258065,84.35483870967742
Central African Republic,Bangui,2025,6,27.02,77.1,1.5296418666666667,1015.5,83.83333333333333
Central African Republic,Bangui,2025,7,24.0,89.0,1.1388980000000002,1017.4,80.0
