Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
China,Beijing,2024,5,21.705882352941178,57.88235294117647,3.2418560000000003,1009.0588235294117,85.29411764705883
China,Beijing,2024,6,27.386206896551727,49.93103448275862,2.858260413793104,1004.5172413793103,86.55172413793103
China,Beijing,2024,7,27.5,72.89285714285714,2.9811746428571433,1001.2142857142857,77.85714285714286
China,Beijing,2024,8,26.706451612903226,77.58064516129032,1.918474129032258,1005.0,80.64516129032258
China,Beijing,2024,9,22.066666666666666,66.36666666666666,2.085201866666667,1014.4666666666667,85.16666666666667
China,Beijing,2024,10,18.06451612903226,44.74193548387097,2.3539614838709677,1020.3870967741935,80.3225806451613
China,Beijing,2024,11,11.786666666666667,42.06666666666667,2.4518714666666668,1022.9333333333333,76.16666666666667
China,Beijing,2024,12,2.293548387096774,24.516129032258064,2.724036129032258,1027.1612903225807,77.74193548387096
China,Beijing,2025,1,0.8161290322580644,28.741935483870968,2.080661806451613,1026.3548387096773,78.70967741935483
China,Beijing,2025,2,3.6785714285714284,17.607142857142858,2.967285642857143,1025.0,78.57142857142857
China,Beijing,2025,3,14.683870967741935,23.677419354838708,3.2276243870967742,1017.0,79.19354838709677
China,Beijing,2025,4,22.083333333333332,25.4,4.656518733333333,1007.1333333333333,84.33333333333333
China,Beijing,2025,5,25.693548387096776,40.38709677419355,3.9068412903225807,1006.8709677419355,83.70967741935483
China,Beijing,2025,6,31.779999999999998,40.03333333333333,3.792622933333334,1002.3666666666667,76.5
China,Beijing,2025,7,32.2,64.8,3.861142000000001,1001.0,75.0
