Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Comoros,Moroni,2024,5,25.8,77.94117647058823,7.4265300000000005,1014.8823529411765,72.3529411764706
Comoros,Moroni,2024,6,25.43103448275862,75.03448275862068,6.0182473793103455,1016.1724137931035,73.79310344827586
Comoros,Moroni,2024,7,25.364285714285717,69.03571428571429,5.894888428571429,1016.0357142857143,78.57142857142857
Comoros,Moroni,2024,8,25.09032258064516,70.80645161290323,5.661335612903226,1016.516129032258,76.61290322580645
Comoros,Moroni,2024,9,25.136666666666667,75.66666666666667,4.113921800000001,1016.3333333333334,78.0
Comoros,Moroni,2024,10,26.4,74.45161290322581,4.1380259354838715,1015.8064516129032,77.09677419354838
Comoros,Moroni,2024,11,26.373333333333335,76.66666666666667,2.7805778000000005,1013.8,77.5
Comoros,Moroni,2024,12,26.44516129032258,75.87096774193549,3.052891806451613,1013.0322580645161,75.80645161290323
Comoros,Moroni,2025,1,26.58709677419355,79.16129032258064,5.34233664516129,1011.4193548387096,67.90322580645162
Comoros,Moroni,2025,2,27.589285714285715,75.64285714285714,6.030802214285715,1011.25,69.28571428571429
Comoros,Moroni,2025,3,27.9,78.64516129032258,3.670280258064517,1012.1290322580645,67.41935483870968
Comoros,Moroni,2025,4,27.863333333333333,76.26666666666667,3.3092857333333336,1013.6,72.33333333333333
Comoros,Moroni,2025,5,27.661290322580644,73.7741935483871,5.518861354838711,1015.741935483871,66.7741935483871
Comoros,Moroni,2025,6,26.5,66.83333333333333,5.876898866666667,1018.3333333333334,79.33333333333333
Comoros,Moroni,2025,7,25.839999999999996,66.2,6.522274400000001,1019.2,82.0
