Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Croatia,Zagreb,2024,5,22.058823529411764,61.05882352941177,2.7108060000000003,1011.6470588235294,82.6470588235294
Croatia,Zagreb,2024,6,26.96896551724138,51.13793103448276,2.7835471724137935,1012.6551724137931,87.58620689655173
Croatia,Zagreb,2024,7,31.289285714285715,40.25,2.1398980714285716,1013.3928571428571,82.14285714285714
Croatia,Zagreb,2024,8,32.274193548387096,38.67741935483871,1.6290452903225807,1013.4193548387096,80.0
Croatia,Zagreb,2024,9,21.783333333333335,61.233333333333334,2.6065023333333333,1014.2333333333333,74.5
Croatia,Zagreb,2024,10,15.922580645161291,72.70967741935483,1.9292269032258067,1020.4516129032259,74.83870967741936
Croatia,Zagreb,2024,11,7.403333333333333,76.6,1.9129782666666668,1023.7,71.0
Croatia,Zagreb,2024,12,4.429032258064517,77.64516129032258,2.207006903225807,1023.3870967741935,68.87096774193549
Croatia,Zagreb,2025,1,5.425806451612903,78.96774193548387,2.747333806451613,1021.9677419354839,68.2258064516129
Croatia,Zagreb,2025,2,3.935714285714286,71.92857142857143,1.6051715714285717,1027.357142857143,71.78571428571429
Croatia,Zagreb,2025,3,10.438709677419356,66.19354838709677,2.3441047741935486,1016.6451612903226,73.06451612903226
Croatia,Zagreb,2025,4,15.26,60.43333333333333,2.696317866666667,1016.8333333333334,76.16666666666667
Croatia,Zagreb,2025,5,17.506451612903227,61.0,2.1837092258064517,1015.516129032258,75.16129032258064
Croatia,Zagreb,2025,6,25.723333333333336,49.03333333333333,2.696317866666667,1019.3,92.0
Croatia,Zagreb,2025,7,27.74,43.2,1.8555704000000002,1019.2,92.0
