Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Cyprus,Nicosia,2024,5,27.058823529411764,52.76470588235294,7.256594,1010.4117647058823,87.6470588235294
Cyprus,Nicosia,2024,6,36.31666666666667,29.966666666666665,5.338005666666667,1005.9333333333333,75.33333333333333
Cyprus,Nicosia,2024,7,36.089285714285715,33.214285714285715,4.776823928571429,1003.0714285714286,74.28571428571429
Cyprus,Nicosia,2024,8,35.53225806451613,35.67741935483871,4.2984214838709685,1005.5483870967741,74.83870967741936
Cyprus,Nicosia,2024,9,32.31666666666667,40.1,3.8981793333333337,1009.5666666666667,77.33333333333333
Cyprus,Nicosia,2024,10,26.47741935483871,42.45161290322581,2.9104175483870973,1015.483870967742,89.6774193548387
Cyprus,Nicosia,2024,11,20.366666666666667,54.43333333333333,3.650955133333334,1018.2333333333333,87.16666666666667
Cyprus,Nicosia,2024,12,17.135483870967743,59.70967741935484,3.5869462580645166,1018.8709677419355,74.03225806451613
Cyprus,Nicosia,2025,1,17.574193548387097,56.516129032258064,3.275115806451613,1021.741935483871,77.90322580645162
Cyprus,Nicosia,2025,2,13.864285714285714,50.285714285714285,4.2817802857142855,1019.3571428571429,76.42857142857143
Cyprus,Nicosia,2025,3,21.364516129032257,41.483870967741936,3.819026967741936,1016.8709677419355,84.19354838709677
Cyprus,Nicosia,2025,4,22.15666666666667,44.7,3.7991044666666673,1012.6666666666666,87.33333333333333
Cyprus,Nicosia,2025,5,27.419354838709676,39.70967741935484,2.8683025161290328,1011.5483870967741,86.12903225806451
Cyprus,Nicosia,2025,6,32.61333333333333,33.4,2.7111328,1009.2,79.66666666666667
Cyprus,Nicosia,2025,7,32.660000000000004,26.2,5.4555992,1008.2,74.0
