Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Djibouti,Djibouti,2024,5,34.38235294117647,55.11764705882353,4.751672,1004.4117647058823,75.88235294117646
Djibouti,Djibouti,2024,6,36.241379310344826,49.55172413793103,4.438732827586207,1001.448275862069,75.17241379310344
Djibouti,Djibouti,2024,7,37.875,40.82142857142857,5.433575214285715,1000.5357142857143,71.78571428571429
Djibouti,Djibouti,2024,8,35.86129032258064,48.67741935483871,5.4606171612903225,1003.3548387096774,70.3225806451613
Djibouti,Djibouti,2024,9,36.18,47.6,4.367627533333334,1004.4333333333333,75.66666666666667
Djibouti,Djibouti,2024,10,32.483870967741936,58.0,4.337848322580645,1009.516129032258,75.48387096774194
Djibouti,Djibouti,2024,11,29.57,59.36666666666667,5.075966533333333,1013.4666666666667,72.33333333333333
Djibouti,Djibouti,2024,12,27.951612903225808,57.61290322580645,5.338752387096775,1015.0322580645161,84.83870967741936
Djibouti,Djibouti,2025,1,26.677419354838708,60.54838709677419,5.3817634838709685,1015.3225806451613,86.12903225806451
Djibouti,Djibouti,2025,2,27.482142857142858,61.92857142857143,5.0952788571428576,1014.2857142857143,86.78571428571429
Djibouti,Djibouti,2025,3,28.641935483870967,63.67741935483871,5.3817634838709685,1013.2903225806451,75.80645161290323
Djibouti,Djibouti,2025,4,30.77,58.86666666666667,4.9037429333333336,1011.3333333333334,75.0
Djibouti,Djibouti,2025,5,33.02258064516129,51.354838709677416,3.2285204516129036,1007.6451612903226,77.41935483870968
Djibouti,Djibouti,2025,6,36.28666666666666,43.3,3.1602104666666673,1005.2333333333333,79.66666666666667
Djibouti,Djibouti,2025,7,39.4,32.8,4.322256800000001,1004.6,76.0
