Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Ecuador,Quito,2024,5,15.229411764705882,67.94117647058823,1.5147180000000002,1017.1176470588235,73.52941176470588
Ecuador,Quito,2024,6,13.266666666666667,69.23333333333333,1.5583458000000001,1018.5,71.5
Ecuador,Quito,2024,7,10.703448275862069,72.20689655172414,2.0115103448275864,1018.7931034482758,77.75862068965517
Ecuador,Quito,2024,8,9.574193548387097,69.0,1.8199070322580646,1019.4516129032259,77.58064516129032
Ecuador,Quito,2024,9,10.35,65.1,1.943534066666667,1017.3666666666667,77.16666666666667
Ecuador,Quito,2024,10,10.76,82.26666666666667,1.1944540000000001,1016.3666666666667,61.333333333333336
Ecuador,Quito,2024,11,10.386206896551723,89.34482758620689,1.0708897931034485,1015.7586206896551,58.793103448275865
Ecuador,Quito,2024,12,10.316129032258065,91.58064516129032,1.0573561290322582,1016.1935483870968,56.45161290322581
Ecuador,Quito,2025,1,9.843333333333334,88.03333333333333,1.11112,1016.6666666666666,57.833333333333336
Ecuador,Quito,2025,2,10.235714285714286,91.71428571428571,1.0436591428571431,1015.6785714285714,56.42857142857143
Ecuador,Quito,2025,3,9.873333333333333,90.63333333333334,1.0972310000000003,1016.4,58.833333333333336
Ecuador,Quito,2025,4,10.013333333333332,89.16666666666667,1.2092689333333335,1016.1666666666666,58.666666666666664
Ecuador,Quito,2025,5,9.896666666666667,87.26666666666667,1.3638998,1017.2333333333333,62.333333333333336
Ecuador,Quito,2025,6,9.346666666666666,83.6,1.5583458000000001,1017.7,67.33333333333333
Ecuador,Quito,2025,7,9.16,80.8,1.7000135999999997,1018.4,74.0
