Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Egypt,Cairo,2024,5,33.588235294117645,22.11764705882353,4.707554,1012.3529411764706,77.05882352941177
Egypt,Cairo,2024,6,37.84666666666667,21.433333333333334,5.474117866666668,1006.8333333333334,73.66666666666667
Egypt,Cairo,2024,7,37.5,25.107142857142858,4.377019142857143,1004.7142857142857,77.14285714285714
Egypt,Cairo,2024,8,36.806451612903224,25.419354838709676,4.319030967741935,1007.0645161290323,76.45161290322581
Egypt,Cairo,2024,9,32.70666666666667,37.766666666666666,4.164848133333334,1011.1,77.66666666666667
Egypt,Cairo,2024,10,27.903225806451612,38.61290322580645,4.40774135483871,1014.7096774193549,87.09677419354838
Egypt,Cairo,2024,11,22.006666666666668,53.4,4.190774266666667,1018.8333333333334,89.66666666666667
Egypt,Cairo,2024,12,19.596774193548388,46.29032258064516,4.549319548387097,1019.6129032258065,77.41935483870968
Egypt,Cairo,2025,1,19.35483870967742,49.16129032258065,3.835156129032258,1020.6774193548387,79.6774193548387
Egypt,Cairo,2025,2,16.87857142857143,45.357142857142854,4.918690142857144,1020.1785714285714,74.64285714285714
Egypt,Cairo,2025,3,22.812903225806455,37.58064516129032,4.114728258064516,1016.8387096774194,83.2258064516129
Egypt,Cairo,2025,4,24.17,35.8,4.640777866666667,1013.6666666666666,90.0
Egypt,Cairo,2025,5,28.43548387096774,31.838709677419356,4.532294322580645,1013.2258064516129,88.06451612903226
Egypt,Cairo,2025,6,29.103333333333335,43.333333333333336,3.5370653333333335,1010.9333333333333,82.66666666666667
Egypt,Cairo,2025,7,31.360000000000003,47.0,2.5389092,1008.8,80.0
