Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
El Salvador,San Salvador,2024,5,26.764705882352942,85.88235294117646,1.524522,1013.5294117647059,82.05882352941177
El Salvador,San Salvador,2024,6,24.127586206896552,93.6896551724138,1.7251095862068966,1013.0344827586207,75.34482758620689
El Salvador,San Salvador,2024,7,23.039285714285715,95.57142857142857,1.495051642857143,1012.4285714285714,74.10714285714286
El Salvador,San Salvador,2024,8,21.187096774193545,96.58064516129032,1.1935579354838712,1013.5483870967741,65.0
El Salvador,San Salvador,2024,9,23.57,98.36666666666666,1.0620455333333334,1009.8333333333334,73.66666666666667
El Salvador,San Salvador,2024,10,20.916666666666668,96.33333333333333,1.226861666666667,1011.5666666666667,64.33333333333333
El Salvador,San Salvador,2024,11,19.93448275862069,95.48275862068965,1.3084395862068967,1011.1034482758621,64.3103448275862
El Salvador,San Salvador,2024,12,19.274193548387096,91.38709677419355,1.7706234838709678,1013.1935483870968,67.58064516129032
El Salvador,San Salvador,2025,1,23.52,77.2,1.6157536666666668,1012.0,88.0
El Salvador,San Salvador,2025,2,24.428571428571427,81.53571428571429,1.425606642857143,1011.1428571428571,88.21428571428571
El Salvador,San Salvador,2025,3,25.038709677419355,80.25806451612904,1.21327135483871,1010.7741935483871,89.51612903225806
El Salvador,San Salvador,2025,4,25.876666666666665,75.6,1.343529266666667,1010.5333333333333,86.83333333333333
El Salvador,San Salvador,2025,5,25.913333333333334,89.4,1.0666752000000002,1010.2,78.33333333333333
El Salvador,San Salvador,2025,6,24.09,94.8,1.110194066666667,1011.4333333333333,73.66666666666667
El Salvador,San Salvador,2025,7,24.34,93.2,1.194454,1011.8,73.0
